,pnl,actual_loss,VaR_DN_full,VaR_DN_nodrift,mu_deltaV,sigma_deltaV,portfolio_value_linear,exception
2008-01-03,4364.939183894005,-4364.939183894005,15478.582784586988,16095.94180984125,617.3590252542625,6918.974582198996,1286715.1016767377,0
2008-01-04,-8380.6388302042,8380.6388302042,15564.648978569092,16195.902093011537,631.2531144424452,6961.94334206751,1291080.0408606315,0
2008-01-07,-2913.8143061577166,2913.8143061577166,15460.275144177562,16081.945179705368,621.6700355278053,6912.958014216165,1282699.4020304275,0
2008-01-08,23860.06414938123,-23860.06414938123,15413.473349123004,16026.883128957796,613.4097798347912,6889.289133322643,1279785.5877242698,0
2008-01-09,-17392.46143743033,17392.46143743033,15728.199144430995,16439.947028586914,711.7478841559192,7066.848089245959,1303645.651873651,1
2008-01-10,11948.721163577246,-11948.721163577246,15742.209512365225,16403.32344158451,661.1139292192858,7051.105135489524,1286253.1904362207,0
2008-01-11,813.3106172278003,-813.3106172278003,16002.556441471468,16675.23599678659,672.6795553151214,7167.989010956426,1298201.9115997981,0
2008-01-14,8601.427315165438,-8601.427315165438,15933.219834965346,16634.695089228728,701.4752542633818,7150.56216434838,1299015.2222170257,0
2008-01-15,-13164.315683788973,13164.315683788973,16043.807222709967,16785.70778928808,741.9005665781131,7215.476230617001,1307616.6495321912,0
2008-01-16,-11928.097387165293,11928.097387165293,15866.470530507642,16555.84535721383,689.3748267061887,7116.667950634791,1294452.3338484024,0
2008-01-17,-6365.36518049756,6365.36518049756,15717.224164765123,16384.599508111387,667.3753433462651,7043.0564968134,1282524.236461237,0
2008-01-18,644.9859174202957,-644.9859174202957,15647.531443491916,16284.22541084326,636.6939673513436,6999.909855510019,1276158.8712807393,0
2008-01-21,-4112.2997285413585,4112.2997285413585,15737.369269547751,16369.807018844396,632.4377492966454,7036.697822157707,1276803.8571981597,0
2008-01-22,8773.923629418803,-8773.923629418803,15721.771776445546,16344.778524762807,623.0067483172611,7025.939115619929,1272691.5574696185,0
2008-01-23,3413.7064788277366,-3413.7064788277366,15830.486837714205,16477.34334007793,646.8565023637233,7082.923205056586,1281465.481099037,0
2008-01-24,12904.45381691765,-12904.45381691765,15851.127917524556,16495.216702694583,644.0887851700262,7090.606218769238,1284879.1875778649,0
2008-01-25,-2315.4616192508865,2315.4616192508865,16166.410701804165,16859.528250198193,693.1175483940286,7247.208570278604,1297783.6413947826,0
2008-01-28,12602.691208670945,-12602.691208670945,16150.443804475379,16825.54365638612,675.0998519107395,7232.600009714082,1295468.1797755316,0
2008-01-29,-2958.552168125644,2958.552168125644,16396.202777820265,17113.441530653774,717.2387528335086,7356.355307655648,1308070.8709842027,0
2008-01-30,3334.976150338942,-3334.976150338942,16342.072679421766,17035.989318715998,693.9166392942317,7323.061829581262,1305112.318816077,0
2008-01-31,4129.661695840106,-4129.661695840106,16446.483044969656,17147.708425456814,701.2253804871564,7371.0852176512335,1308447.2949664157,0
2008-02-01,-5528.190445533842,5528.190445533842,16411.88511076282,17106.483544827825,694.5984340650034,7353.364359524636,1312576.9566622558,0
2008-02-04,-5826.296848006046,5826.296848006046,16186.008989936405,16871.85521716048,685.8462272240738,7252.50741964668,1307048.766216722,0
2008-02-05,-16126.320620900122,16126.320620900122,16085.904396272235,16779.662391136328,693.7579948640931,7212.877565894836,1301222.469368716,1
2008-02-06,2809.286061189364,-2809.286061189364,15904.61849176638,16568.690600156035,664.0721083896551,7122.189585247369,1285096.148747816,0
2008-02-07,-129.2806746252013,129.2806746252013,16010.911709274129,16697.298632953625,686.3869236794969,7177.472818779506,1287905.4348090054,0
2008-02-08,28788.151232812612,-28788.151232812612,16120.880361206895,16809.34651724508,688.4661560381859,7225.637534616622,1287776.1541343802,0
2008-02-11,-18612.491233639834,18612.491233639834,16624.19728444233,17388.9813060212,764.7840215788693,7474.798373906448,1316564.3053671927,1
2008-02-12,-5833.7918779441625,5833.7918779441625,16631.728693951063,17340.040721497695,708.3120275466306,7453.760856229225,1297951.8141335528,0
2008-02-13,1564.772229035469,-1564.772229035469,16439.26833332218,17106.796555629287,667.528222307108,7353.498909823391,1292118.0222556088,0
2008-02-14,-954.6499774105778,954.6499774105778,16475.602530402826,17138.719185549704,663.1166551468782,7367.221118043681,1293682.7944846442,0
2008-02-15,-1411.9640648800448,1411.9640648800448,16509.194631288316,17158.054574761423,648.8599434731063,7375.532596059278,1292728.1445072338,0
2008-02-18,-540.5198164015865,540.5198164015865,16444.491503421697,17091.655579720315,647.1640762986156,7346.9904352835665,1291316.1804423535,0
2008-02-19,11785.419418827149,-11785.419418827149,16440.153834040542,17086.49282389775,646.3389898572084,7344.771181714411,1290775.6606259518,0
2008-02-20,8226.018805407735,-8226.018805407735,16749.68836168361,17444.945088307973,695.2567266243632,7498.854871608817,1302561.0800447792,0
2008-02-21,2615.1211158539973,-2615.1211158539973,16965.94003423186,17684.46029418014,718.5202599482794,7601.812476765319,1310787.098850187,0
2008-02-22,1770.3034212509438,-1770.3034212509438,16942.014206531123,17676.117688111604,734.1034815804819,7598.226338096366,1313402.219966041,0
2008-02-25,-1277.8713068106504,1277.8713068106504,16963.095709073976,17679.232189020368,716.1364799463919,7599.565132239546,1315172.5233872917,0
2008-02-26,10718.816980978721,-10718.816980978721,16924.432379291462,17627.63396674797,703.201587456506,7577.385206851701,1313894.6520804812,0
2008-02-27,7968.269019102174,-7968.269019102174,17080.76972853596,17823.539091917286,742.7693633813266,7661.596655773581,1324613.4690614596,0
2008-02-28,7941.784709944637,-7941.784709944637,17229.787677600558,17975.09688618591,745.3092085853515,7726.74503532585,1332581.7380805619,0
2008-02-29,-2298.4218798515763,2298.4218798515763,17344.742614249266,18084.868699787054,740.1260855377882,7773.931363228938,1340523.5227905067,0
2008-03-03,3748.9601183332084,-3748.9601183332084,17299.14176543081,18045.702191779677,746.5604263488682,7757.095313709247,1338225.100910655,0
2008-03-04,-11644.572651691054,11644.572651691054,17427.52266658445,18180.39125741064,752.868590826191,7814.992529828094,1341974.0610289886,0
2008-03-05,13787.848225271082,-13787.848225271082,17236.43542635029,17948.24592156522,711.8104952149279,7715.202924655165,1330329.4883772973,0
2008-03-06,-6809.27910235413,6809.27910235413,17612.891829776123,18354.73385779807,741.842028021947,7889.935147969121,1344117.3366025682,0
2008-03-07,-4697.816964765925,4697.816964765925,17462.630741390865,18182.981934467127,720.3511930762614,7816.1061539276525,1337308.0575002143,0
2008-03-10,-2306.1865780443404,2306.1865780443404,17317.286245856547,18051.09217819822,733.8059323416749,7759.412244241731,1332610.2405354483,0
2008-03-11,6760.174619225216,-6760.174619225216,17263.8201719646,17974.83994466076,711.0197726961584,7726.634586872279,1330304.053957404,0
2008-03-12,9781.374641473154,-9781.374641473154,17340.02666174911,18075.148620966378,735.1219592172683,7769.753106430313,1337064.2285766292,0
2008-03-13,6987.20012356659,-6987.20012356659,17491.446626946246,18249.60071172795,758.1540847817046,7844.742789920148,1346845.6032181021,0
2008-03-14,555.4358583491403,-555.4358583491403,17674.57446878166,18455.88713279233,781.3126640106723,7933.416725304568,1353832.803341669,0
2008-03-17,3691.9701503862075,-3691.9701503862075,17681.069679774653,18466.3196616718,785.2499818971474,7937.901234691958,1354388.239200018,0
2008-03-18,-5587.714839172493,5587.714839172493,17691.30799714341,18453.648375941943,762.3403787985346,7932.454377035261,1358080.2093504043,0
2008-03-19,-20870.740318941323,20870.740318941323,17432.13361468859,18143.022593090773,710.8889784021799,7798.929298384141,1352492.4945112318,1
