"Family","logLik","AIC","BIC","KS_D","KS_p","KS_pass"
"NET",17874.89,-35745.79,NA,0.0169,0.4875,TRUE
"SST",17820.55,-35633.11,NA,0.0463,1e-04,FALSE
"LO",17715.97,-35427.93,NA,0.031,0.0185,FALSE
"GT",17386.7,-34765.39,NA,0.0944,0,FALSE
"TF",17377.82,-34749.65,NA,0.1092,0,FALSE
"ST3",17377.82,-34747.65,NA,0.1092,0,FALSE
"NO",16734,-33464.01,NA,0.0949,0,FALSE
"JSU",13127.8,-26247.6,NA,0.2656,0,FALSE
