"Family","logLik","AIC","BIC","KS_D","KS_p","KS_pass"
"JSU",-6225.67,12459.35,NA,0.0189,0.3464,TRUE
"SST",-6235.69,12479.39,NA,0.0237,0.1282,TRUE
"ST3",-6235.69,12479.39,NA,0.0237,0.1282,TRUE
"TF",-6408.85,12823.69,NA,0.0456,1e-04,FALSE
"LO",-6576.17,13156.35,NA,0.0548,0,FALSE
"NO",-7141.47,14286.95,NA,0.1087,0,FALSE
