component,component_label,observations,expected_exceptions,observed_exceptions,exception_rate,kupiec_pvalue,christoffersen_ind_pvalue,christoffersen_cc_pvalue,exception_severity,mean_var,mean_es
linear,Linear Book,4269,42.7,39,0.009135628952916374,0.564611339980488,8.083356241028739e-07,4.395921797906155e-06,14914.400834182481,32550.42559506039,42041.84152731294
irs,IRS,4269,42.7,46,0.010775357226516749,0.61507608753268,0.0013654201232043972,0.00523500631870899,4262.592278464328,13071.896224203585,15798.147469972659
straddle,Straddle,4269,42.7,75,0.017568517217146872,7.137030552106793e-06,0.1990691407223979,1.8408986829587803e-05,2311.8030037729236,5063.796180885947,5603.827019780954
