date,manual_linear,ref_linear,abs_err_linear,manual_irs,ref_irs,abs_err_irs,manual_straddle,ref_straddle,abs_err_straddle,manual_total,ref_total,abs_err_total
2006-01-04,4119.352313084806,4119.352313084806,0.0,-742.9113956894726,-742.9113956894726,0.0,153.31804059118804,153.31804059118804,0.0,3529.7589579865216,3529.7589579865216,0.0
2006-01-05,-4404.061797214125,-4404.061797214125,0.0,0.0,0.0,0.0,-98.54465367777811,-98.54465367777811,0.0,-4502.6064508919035,-4502.6064508919035,0.0
2006-01-06,9236.81884953029,9236.81884953029,0.0,1485.0770520692167,1485.0770520692167,0.0,233.41092544328058,233.41092544328058,0.0,10955.306827042787,10955.306827042787,0.0
2006-01-09,3268.3237055110467,3268.3237055110467,0.0,0.0,0.0,0.0,150.65602734504319,150.65602734504319,0.0,3418.97973285609,3418.97973285609,0.0
2006-01-10,-3525.155780069109,-3525.155780069109,0.0,3699.6714318385784,3699.6714318385784,0.0,-106.1657488315077,-106.1657488315077,0.0,68.34990293796182,68.34990293796182,0.0
2006-01-11,3953.1700768752335,3953.1700768752335,0.0,2210.9073619451374,2210.9073619451374,0.0,228.4289353203376,228.4289353203376,0.0,6392.506374140708,6392.506374140708,0.0
2006-01-12,-2536.144566219913,-2536.144566219913,0.0,-2949.356847904477,-2949.356847904477,0.0,-364.8435097802576,-364.8435097802576,0.0,-5850.344923904648,-5850.344923904648,0.0
2006-01-13,7655.020887231646,7655.020887231646,0.0,-4446.2989979484555,-4446.2989979484555,0.0,-169.92381310178916,-169.92381310178916,0.0,3038.7980761814015,3038.7980761814015,0.0
2006-01-17,-1957.8729121157824,-1957.8729121157824,0.0,-1488.0633602154267,-1488.0633602154267,0.0,-66.79988187308754,-66.79988187308754,0.0,-3512.7361542042963,-3512.7361542042963,0.0
2006-01-18,-6526.47422815374,-6526.47422815374,0.0,0.0,0.0,0.0,-227.85321008780102,-227.85321008780102,0.0,-6754.327438241541,-6754.327438241541,0.0
2006-01-19,7141.761299004473,7141.761299004473,0.0,2973.1404122846434,2973.1404122846434,0.0,12.75199696229356,12.75199696229356,0.0,10127.65370825141,10127.65370825141,0.0
2006-01-20,-5099.331399486115,-5099.331399486115,0.0,-742.1656563797442,-742.1656563797442,0.0,275.4930953039084,275.4930953039084,0.0,-5566.00396056195,-5566.00396056195,0.0
2006-01-23,7000.860415425846,7000.860415425846,0.0,-742.9113956894726,-742.9113956894726,0.0,-380.7550685458673,-380.7550685458673,0.0,5877.193951190507,5877.193951190507,0.0
2006-01-24,-1160.6727532747816,-1160.6727532747816,0.0,2967.174491641883,2967.174491641883,0.0,-359.7308659923183,-359.7308659923183,0.0,1446.770872374783,1446.770872374783,0.0
2006-01-25,182.0467836516963,182.0467836516963,0.0,6632.744476630207,6632.744476630207,0.0,-287.93842908716306,-287.93842908716306,0.0,6526.85283119474,6526.85283119474,0.0
2006-01-26,-1003.5606847856711,-1003.5606847856711,0.0,2928.7205590383383,2928.7205590383383,0.0,-155.30199326273942,-155.30199326273942,0.0,1769.8578809899277,1769.8578809899277,0.0
2006-01-27,-1182.8083626131802,-1182.8083626131802,0.0,-731.0793675930618,-731.0793675930618,0.0,286.81191140595547,286.81191140595547,0.0,-1627.0758188002865,-1627.0758188002865,0.0
2006-01-30,4043.720935494636,4043.720935494636,0.0,1461.4262565670797,1461.4262565670797,0.0,-94.05502348090522,-94.05502348090522,0.0,5411.09216858081,5411.09216858081,0.0
2006-01-31,-106.80925581481529,-106.80925581481529,0.0,-730.3468889740179,-730.3468889740179,0.0,-464.57124434383695,-464.57124434383695,0.0,-1301.7273891326702,-1301.7273891326702,0.0
2006-02-01,-702.1774044849813,-702.1774044849813,0.0,2917.0008810168365,2917.0008810168365,0.0,123.4445336180629,123.4445336180629,0.0,2338.268010149918,2338.268010149918,0.0
2006-02-02,-1267.8040207581496,-1267.8040207581496,0.0,0.0,0.0,0.0,-563.9023281312989,-563.9023281312989,0.0,-1831.7063488894485,-1831.7063488894485,0.0
2006-02-03,-3938.5126124320477,-3938.5126124320477,0.0,-2186.6539920428186,-2186.6539920428186,0.0,-290.76007754613875,-290.76007754613875,0.0,-6415.926682021005,-6415.926682021005,0.0
2006-02-06,-2.435009346390302,-2.435009346390302,0.0,729.6152305407595,729.6152305407595,0.0,-195.15125710816483,-195.15125710816483,0.0,532.0289640862044,532.0289640862044,0.0
2006-02-07,-11863.411793987592,-11863.411793987592,0.0,1457.038761502059,1457.038761502059,0.0,120.55217459647565,120.55217459647565,0.0,-10285.820857889057,-10285.820857889057,0.0
2006-02-08,2601.1862097929784,2601.1862097929784,0.0,-728.1543702137133,-728.1543702137133,0.0,-629.3821243087973,-629.3821243087973,0.0,1243.6497152704678,1243.6497152704678,0.0
2006-02-09,6780.638017918561,6780.638017918561,0.0,-1458.4996218291053,-1458.4996218291053,0.0,-206.1593226260643,-206.1593226260643,0.0,5115.979073463392,5115.979073463392,0.0
