lambda,label,mean_VaR,mean_ES,max_VaR,exceptions,exception_rate,kupiec_p,christoffersen_p
1.0,sample (baseline),10823.17044618249,12426.796480032135,21308.611669213093,511,0.11970016397282736,0.0,0.0
0.94,EWMA λ=0.94,9953.066961798871,11429.949789290413,52321.16843969332,596,0.13961115015226047,0.0,0.0
0.97,EWMA λ=0.97,10143.957054461953,11648.645795664152,45213.47678080534,578,0.13539470602014522,0.0,0.0
