,VaR,VaR_nodrift,ES,ES_nodrift,actual_loss,exception,mu_deltaV,sigma_deltaV
2008-01-25,11122.458885805996,11588.291585800394,12810.461816672823,13276.294516667222,6480.59197412131,0,465.83269999439847,4981.323608180603
2008-01-28,11133.486241861314,11586.968046814256,12821.29638005709,13274.778185010033,-10561.409041226543,0,453.48180495294304,4980.754673929235
2008-01-29,11149.708222641748,11621.561166371353,12842.557350991325,13314.41029472093,-2653.853449518271,0,471.8529437296052,4995.624814351101
2008-01-30,11153.14494067051,11623.065868268644,12846.213250699622,13316.134178297756,-10837.63937776133,0,469.9209275981344,4996.27162298797
2008-01-31,11146.422385376394,11622.059755318865,12839.344140445663,13314.981510388134,6565.026544608865,0,475.63736994247205,4995.839136960834
2008-02-01,11128.99148657512,11621.347166844442,12821.80944278634,13314.165123055662,11258.238807725664,1,492.35568026932276,4995.532824872958
2008-02-04,11135.457289132753,11624.02019703962,12828.66461100416,13317.227518911026,119.12435812672813,0,488.5629079068657,4996.681849154754
2008-02-05,11068.883599071747,11570.702695303713,12754.32445264795,13256.143548879916,19225.70904373535,1,501.8190962319662,4973.76287717689
2008-02-06,11172.551077199369,11644.677761410812,12868.76747326821,13340.894157479652,-3599.8714021540045,0,472.1266842114428,5005.561675169472
2008-02-07,11167.041395401107,11627.686141625434,12860.782715330766,13321.427461555093,-8906.221392758316,0,460.6447462243267,4998.257685953164
2008-02-08,11117.10991156282,11592.392674643015,12805.71022556717,13280.992988647366,-21426.12008357864,0,475.2827630801948,4983.086495360281
2008-02-11,11258.703634899312,11788.24530986741,12975.832728994239,13505.374403962338,21157.93200146145,1,529.5416749680994,5067.275381042371
2008-02-12,11398.05365673436,11885.678081616286,13129.375248753322,13616.999673635248,4249.798365574965,0,487.6244248819263,5109.1576690854035
2008-02-13,11396.695545024928,11884.89173036419,13127.902593566243,13616.098778905505,-3046.637258603252,0,488.19618533926223,5108.819649453486
2008-02-14,11393.333591163118,11872.82520987062,13122.78297578929,13602.274594496792,-11711.384835567314,0,479.4916187075021,5103.632755168148
2008-02-15,11400.574323807312,11871.595828922194,13129.844631247799,13600.866136362682,8799.501614400571,0,471.02150511488196,5103.104295533137
2008-02-19,11400.715437180113,11871.639685623872,13129.992132985995,13600.916381429754,-21421.901538880746,0,470.9242484437576,5103.12314770145
2008-02-20,11408.990968061136,11887.154330073357,13140.527597102922,13618.690959115143,-10498.143263730046,0,478.1633620122215,5109.7922467741255
2008-02-21,11390.687982597296,11886.673404923624,13122.154557908016,13618.139980234344,8788.500380330444,0,495.9854223263285,5109.585517094914
2008-02-22,11390.137578182315,11882.350745653854,13120.974495405604,13613.18766287714,-2074.0193770582277,0,492.2131674715374,5107.727386022599
2008-02-25,11376.79638867217,11877.53914127809,13106.93242585388,13607.6751784598,-5742.494929111207,0,500.74275260591935,5105.65907782611
2008-02-26,11379.442371103423,11871.7406340573,13108.7337715144,13601.032034468277,-6781.249075669956,0,492.29826295387716,5103.166541225933
2008-02-27,11390.745010070645,11895.312134752869,13123.469941814905,13628.037066497129,-13645.466953908855,0,504.5671246822235,5113.298947027575
2008-02-28,11392.432053929075,11898.80259748184,13125.665422251148,13632.035965803912,2900.2880932835687,0,506.3705435527652,5114.799351488971
2008-02-29,11376.150005784844,11899.672748346664,13109.510124214923,13633.032866776743,14845.399053038664,1,523.5227425618202,5115.173393082034
2008-03-03,11343.2447782321,11876.222038482263,13073.188960267335,13606.166220517498,-4314.666595650704,0,532.9772602501633,5105.092910224727
2008-03-04,11322.02580657078,11866.6278025299,13050.572448831743,13595.174444790862,4786.767187354128,0,544.6019959591193,5100.968748030662
2008-03-05,11350.684154566126,11887.251426184299,13082.234927066303,13618.802198684474,-18398.25316247536,0,536.5672716181716,5109.833984345718
2008-03-06,11358.807728324027,11913.059723977009,13094.117854132863,13648.369849785842,10800.23006402295,0,554.2519956529804,5120.9278960004185
2008-03-07,11380.264137128905,11925.060466467698,13117.322345331668,13662.11867467046,8854.087082906184,0,544.7963293387933,5126.08651506363
2008-03-10,11398.114184325617,11928.433075246941,13135.663661967183,13665.982552888507,8631.410811682426,0,530.3188909213234,5127.536259023627
2008-03-11,11397.106257122936,11908.005963429725,13131.680229327716,13642.579935634505,-13645.663764618355,0,510.8997063067891,5118.755494957703
2008-03-12,11403.374329791592,11921.382098883618,13139.896730346027,13657.904499438053,-1715.1645040403,0,518.0077690920256,5124.505338135998
2008-03-13,11406.550337652066,11926.823688903864,13143.865384804556,13664.138736056353,-12252.53891126457,0,520.2733512517966,5126.844450906262
2008-03-14,11401.089751661482,11931.174513406144,13139.038559576476,13669.123321321138,6745.0992827749415,0,530.0847617446608,5128.714689038241
2008-03-17,11401.566537178636,11931.31308599472,13139.535530203222,13669.282079019305,3396.860585744851,0,529.746548816083,5128.774255619027
2008-03-18,11372.58342217648,11916.797324166288,13108.437983722642,13652.65188571245,61.46546494388167,0,544.2139019898079,5122.534534556494
2008-03-19,11373.898975358705,11916.803802553497,13109.75448057603,13652.659307770822,25899.16027022367,1,542.904827194792,5122.537319345167
2008-03-20,11476.017204377498,11999.031649018703,13223.850389376565,13746.86483401777,19411.68407860387,1,523.0144446412052,5157.883643677296
2008-03-24,11506.277078552854,12001.763477806751,13254.50819408091,13749.994593334808,-11588.209379863722,0,495.486399253897,5159.057943023723
2008-03-25,11521.379398085417,12007.264379246873,13270.411799781034,13756.29678094249,-12956.22226190885,0,485.8849811614565,5161.422551301576
2008-03-26,11531.769030830783,12048.442618274516,13286.799640946678,13803.47322839041,-6809.912357569744,0,516.6735874437326,5179.123360147553
2008-03-27,11526.545635595296,12037.534057473154,13279.987255438733,13790.975677316592,-871.8996030941898,0,510.9884218778585,5174.434224475675
2008-03-28,11523.498236485566,12013.581495918626,13273.450817948631,13763.534077381692,16584.3508281783,1,490.0832594330609,5164.138016491561
2008-03-31,11547.25321094657,12030.275935649168,13299.63757995879,13782.660304661387,7831.959505040187,0,483.02272470259834,5171.314260387338
2008-04-01,11560.192931715694,12034.452788172786,13313.18571994566,13787.445576402753,3676.328012746319,0,474.25985645709187,5173.109715216011
