,component,source,mean,std,q1%,q99%,vol_share
0,Linear,Simulated,1667.7989208934177,21725.3526613614,-52076.55392032643,54850.617616700314,1.215321069826186
1,Linear,Historical,1147.8843117518602,23309.517359132144,-62023.94237252823,58893.012620669084,1.122888040205019
2,IRS,Simulated,345.2694064030086,4833.602321942893,-11456.364573271074,11801.098763671578,0.2703927911589473
3,IRS,Historical,254.1185061507759,5131.199538665759,-11762.103841243807,10856.984109532132,0.24718498049964827
4,Straddle,Simulated,296.5567868597341,6374.786887820232,-11233.539282206008,20836.57920369743,0.3566069992593686
5,Straddle,Historical,190.7646035172843,4040.7876103155604,-5983.607429219467,14902.479871095878,0.1946566293383303
