,VaR_MC,actual_loss,exception
2007-12-31,16786.0111864377,11199.976273539649,False
2008-01-02,16963.43435152766,-2580.27634467437,False
2008-01-03,17378.038939076778,-3775.234223822064,False
2008-01-04,17199.121531204455,8620.214514355599,False
2008-01-07,16822.105982524346,4680.594752085621,False
2008-01-08,16674.568896936227,-26414.479889681123,False
2008-01-09,16934.557495596782,22605.07966286689,True
2008-01-10,17488.665470615346,-17597.24177564428,False
2008-01-11,17413.63428538141,4715.8227861864725,False
2008-01-14,17442.552431359167,-11623.456178974317,False
2008-01-15,16745.75367298303,20077.877742710683,True
2008-01-16,16931.89725426638,9699.36920283811,False
2008-01-17,16196.968806917956,9406.802644018388,False
2008-01-18,16338.37921227386,-809.969422958724,False
2008-01-22,15655.598323604752,237.98048276518605,False
2008-01-23,16359.81618390635,465.1558630757845,False
2008-01-24,17088.233533646966,-25180.642219630325,False
2008-01-25,16998.640506185347,6480.59197412131,False
2008-01-28,17603.769498421752,-10561.409041226543,False
2008-01-29,17481.49010022416,-2653.853449518271,False
2008-01-30,17796.920237424372,-10837.63937776133,False
2008-01-31,18097.2910655737,6565.026544608865,False
2008-02-01,18055.10235592031,11258.238807725664,False
2008-02-04,17800.175171603634,119.12435812672813,False
2008-02-05,17992.683582235983,19225.70904373535,True
2008-02-06,17982.242076601644,-3599.8714021540045,False
2008-02-07,18268.652400381965,-8906.221392758316,False
2008-02-08,17415.244390805186,-21426.12008357864,False
2008-02-11,18096.45631089484,21157.93200146145,True
2008-02-12,18275.917816472094,4249.798365574965,False
2008-02-13,14673.14487617054,-3046.637258603252,False
2008-02-14,15250.747626588847,-11711.384835567314,False
2008-02-15,14546.698401665417,8799.501614400571,False
2008-02-19,14871.716339273245,-21421.901538880746,False
2008-02-20,15049.219893721942,-10498.143263730046,False
2008-02-21,14433.806248123365,8788.500380330444,False
2008-02-22,15061.04317131533,-2074.0193770582277,False
2008-02-25,15279.144517927612,-5742.494929111207,False
2008-02-26,15570.901219443083,-6781.249075669956,False
2008-02-27,15789.543129808022,-13645.466953908855,False
2008-02-28,15197.664160753577,2900.2880932835687,False
2008-02-29,14982.54249993293,14845.399053038664,False
2008-03-03,14953.378351561656,-4314.666595650704,False
2008-03-04,15563.82683883747,4786.767187354128,False
2008-03-05,15426.36440745778,-18398.25316247536,False
2008-03-06,14725.6909690142,10800.23006402295,False
2008-03-07,14815.76136152017,8854.087082906184,False
2008-03-10,15188.593053940936,8631.410811682426,False
2008-03-11,14808.02494346417,-13645.663764618355,False
2008-03-12,14885.013599849648,-1715.1645040403,False
2008-03-13,14926.766664794923,-12252.53891126457,False
2008-03-14,14943.196497679399,6745.0992827749415,False
2008-03-17,14831.397704401888,3396.860585744851,False
2008-03-18,15466.261511733659,61.46546494388167,False
2008-03-19,14936.03065556395,25899.16027022367,True
2008-03-20,15288.064320945901,19411.68407860387,True
2008-03-24,16145.895766017187,-11588.209379863722,False
2008-03-25,16162.518123332351,-12956.22226190885,False
2008-03-26,15664.45689226324,-6809.912357569744,False
2008-03-27,14912.105487905195,-871.8996030941898,False
2008-03-28,15616.08863278513,16584.3508281783,True
2008-03-31,16357.876523843071,7831.959505040187,False
2008-04-01,17181.381855683172,3676.328012746319,False
2008-04-02,17439.794308761484,-11025.147728588689,False
2008-04-03,17323.362680837497,-1407.1117974055112,False
2008-04-04,17427.944846001523,2222.528620317151,False
2008-04-07,17659.055059860744,-6895.010522054543,False
2008-04-08,17769.97391247581,6612.612910972932,False
2008-04-09,17039.47806081397,-6516.163396165458,False
2008-04-10,17197.11633101209,-8683.05571608177,False
2008-04-11,16642.67615808622,8876.308174586677,False
2008-04-14,16987.282957277694,-794.3257156446398,False
2008-04-15,16802.60247783535,-5919.123364538939,False
2008-04-16,17804.654366815437,-24783.58913942306,False
2008-04-17,18508.19849679924,2641.9787787997566,False
2008-04-18,19063.864066016922,8240.086116822451,False
2008-04-21,18291.37277227128,-547.939988379384,False
2008-04-22,18041.070827357657,425.8154127738544,False
2008-04-23,19252.03503686282,6246.521128400484,False
2008-04-24,18946.272518644004,6645.398664335624,False
2008-04-25,19349.353024240838,-4882.611023019041,False
2008-04-28,19286.698904418554,1177.1198404048328,False
2008-04-29,18852.97408810324,12341.86281287663,False
2008-04-30,19502.56016091459,2397.197918765872,False
2008-05-01,19779.980228686938,4838.243842310509,False
2008-05-02,20204.916834624135,-5935.706591475115,False
2008-05-05,20082.28087398393,-6888.712648750314,False
2008-05-06,20327.47374958668,-8836.759826559544,False
2008-05-07,20312.814336661646,17841.294656411927,False
2008-05-08,20082.1795191735,-2587.035636976312,False
2008-05-09,16844.04760161369,843.9746648746982,False
2008-05-12,16609.300790992234,-3271.225895253426,False
2008-05-13,16912.02303711818,1984.1274893286543,False
2008-05-14,16945.037281800138,-1085.5803236232714,False
2008-05-15,17458.977915976076,-8361.060201811448,False
2008-05-16,17046.8955457084,-14358.51650304419,False
2008-05-19,17032.79780671176,-353.6906195400288,False
2008-05-20,16959.20587785958,-2604.466466586809,False
2008-05-21,16485.011043014245,-1049.5915983975256,False
2008-05-22,16239.731766837593,-5864.312808181041,False
2008-05-23,15535.274055123164,5095.209842548351,False
2008-05-27,16225.861340063893,3911.3376665063097,False
2008-05-28,16534.52562195049,-4651.258354371927,False
2008-05-29,16332.3521601454,11889.24076298514,False
2008-05-30,16995.581717018573,-4781.238036263971,False
2008-06-02,16489.21007309288,4308.043061395282,False
2008-06-03,15717.885986397177,11845.884932752837,False
2008-06-04,16272.751894434165,-2055.055068692561,False
2008-06-05,16988.21788501821,-11647.305885108482,False
2008-06-06,15868.329567520592,-2485.3907570704087,False
2008-06-09,16017.988191970453,3729.3574665961382,False
2008-06-10,14943.855625988816,11436.45273534536,False
2008-06-11,15102.377921307232,-5409.654008898339,False
2008-06-12,14531.010687126365,1117.368084923983,False
2008-06-13,15255.88259975565,-3161.412378153652,False
2008-06-16,15212.717145129287,-6061.169229874468,False
2008-06-17,14905.329233239494,-385.3197726192384,False
2008-06-18,14439.531427950047,291.54249200275444,False
2008-06-19,14162.682366651976,-2788.234815045924,False
2008-06-20,14015.419080231797,649.4010333459391,False
2008-06-23,15821.340461604877,9112.561012005475,False
2008-06-24,15665.817140537933,2940.0879372895683,False
2008-06-25,15857.693956689354,-3705.6925007171785,False
2008-06-26,15076.61728486262,-11878.582512202936,False
2008-06-27,15383.167576626533,1144.6544293381512,False
2008-06-30,15372.568247758853,-111.07917295818127,False
2008-07-01,15068.647749612332,-6953.919149268036,False
2008-07-02,14948.344195536127,-2869.3355658383507,False
2008-07-03,15098.976021940989,8709.811035865656,False
2008-07-07,14666.16378032006,13402.052066699112,False
2008-07-08,15202.344456368233,8513.666397855477,False
2008-07-09,15145.57300322927,-3257.856244820463,False
2008-07-10,14661.113747215077,-10169.622732369497,False
2008-07-11,15470.498211196465,-15998.773241795656,False
2008-07-14,15272.209721592842,2798.621148623967,False
2008-07-15,14660.949691637634,3279.808184852048,False
2008-07-16,14925.66199549828,766.042325276665,False
2008-07-17,15009.619782480631,-8308.994771364858,False
2008-07-18,14720.957122288533,-2887.933442223669,False
2008-07-21,15092.375810246614,-4374.752786501054,False
2008-07-22,15130.016873277526,6901.653135478582,False
2008-07-23,15543.317244553173,11117.522643126204,False
2008-07-24,14896.86441123266,9875.618940202194,False
2008-07-25,14728.312043481008,-6802.403817155821,False
2008-07-28,14417.090078950017,5701.325868428416,False
2008-07-29,15121.129344549368,2396.940653478693,False
2008-07-30,14898.282582628366,1095.697006983968,False
2008-07-31,14626.751118315213,4995.835056446263,False
2008-08-01,14544.465266354988,5822.7728410999325,False
2008-08-04,14607.881176079722,8834.272220883664,False
2008-08-05,15871.286110543811,-840.7484060908755,False
2008-08-08,16666.987413278694,21473.78002626597,True
2008-08-11,16364.304381356227,9128.409497987042,False
2008-08-12,16045.23118095545,11466.733133812042,False
2008-08-13,16654.070512301085,-3976.7730995031934,False
2008-08-26,16147.763982978391,21839.277275282097,True
2008-08-27,16451.739844358497,-4508.512128043467,False
2008-08-28,16939.262747143188,-9898.763519215883,False
2008-08-29,16479.47165312566,5274.5665171398405,False
2008-09-02,15905.837743520953,14477.525570710552,False
2008-09-03,16401.4952152545,4426.787217958928,False
2008-09-04,15643.473431779621,17409.013628068176,True
2008-09-05,15537.122721306023,-3963.547398094368,False
2008-09-08,16113.992714651857,-20045.9356532015,False
2008-09-09,15834.62832428152,37551.86676697621,True
2008-09-10,16334.20740149682,12241.511479487825,False
2008-09-11,16721.86340953698,3574.1461359275063,False
2008-09-12,16657.88479050754,-24549.45091089557,False
2008-09-15,16069.314721421675,13635.733721838473,False
2008-09-16,16503.130145860585,4240.502636485358,False
2008-09-17,15976.892305768462,-36028.133743891805,False
2008-09-18,15949.259621650379,2780.3853232583333,False
2008-09-19,16833.242806179325,-37920.90807063224,False
2008-09-22,16752.163155016457,-21779.95593869157,False
2008-09-23,15628.618668899158,8286.336706096481,False
2008-09-24,15654.589024449113,11900.895096765264,False
2008-09-25,16489.16556985859,-5904.548271070531,False
2008-09-26,16749.856917802423,2297.3151701179586,False
2008-09-29,16499.35888001179,14060.68518815441,False
2008-09-30,16707.29361747696,9108.503405742042,False
2008-10-01,17622.24042118136,1752.1428836713822,False
2008-10-02,16541.949437988646,31917.42811170976,True
2008-10-03,17309.778270308856,1804.471274085306,False
2008-10-06,17094.1407896738,11238.335958469528,False
2008-10-07,17114.74005021544,-14200.814112771292,False
2008-10-08,16803.49103198439,-50744.92809300834,False
2008-10-09,17522.730608727226,23789.72476372135,True
2008-10-10,17403.77135642845,36527.00099963302,True
2008-10-13,18111.697014511436,-4956.442400550179,False
2008-10-14,18263.90324459787,4564.583955673235,False
2008-10-15,18115.24361735545,13494.095495258978,False
2008-10-16,18046.37517915785,15895.664087617006,False
2008-10-17,18260.654033294344,10649.123075803316,False
2008-10-20,17586.930926002162,-3219.397761781249,False
2008-10-21,17979.16672651817,31799.37384188148,True
2008-10-22,18301.531613085568,36280.39124866703,True
2008-10-23,19295.580907874417,2718.2995051387124,False
2008-10-24,19456.518525411666,-4971.103812372303,False
2008-10-27,19566.67596704958,6188.687685610659,False
2008-10-28,18872.29075259931,-31866.11984901796,False
2008-10-29,19268.24972009246,-6797.677401562441,False
2008-10-30,19319.568356683307,1405.6378463689416,False
2008-10-31,19521.463945399777,10085.459313847346,False
2008-11-03,18950.478218149656,7974.936623281428,False
2008-11-04,19033.4265641278,-24762.13888023124,False
2008-11-05,19780.754001373258,25882.12642650639,True
2008-11-06,19328.802735415364,13806.895741112849,False
2008-11-07,19631.671807978637,-9416.902565447492,False
2008-11-10,19330.28070668567,-3689.4454268711233,False
2008-11-11,19859.405455477376,15068.316823549463,False
2008-11-12,21525.597032585814,18686.033714020785,False
2008-11-13,22377.52506906384,-26623.85403146053,False
2008-11-14,21323.77806316516,9765.967256465014,False
2008-11-17,22093.31346881769,5168.214552978544,False
2008-11-18,22137.19715135146,9499.200557892853,False
2008-11-19,21324.137334631887,17068.64788005515,False
2008-11-20,21769.21028509383,16769.213484878524,False
2008-11-21,22718.87728037506,-36650.05987999242,False
2008-11-24,23351.493502655507,-29479.270628386235,False
2008-11-25,23509.084301326562,11867.334525814636,False
2008-11-26,24826.79747630698,8024.835211856235,False
2008-11-28,26145.150157219912,6354.952660758323,False
2008-12-01,22960.53420998511,51961.95995214784,True
2008-12-02,25734.41125420553,-11151.647764283734,False
2008-12-03,24753.501589357904,583.3727864326834,False
2008-12-04,25266.612981770624,14494.623552187586,False
2008-12-05,25641.866898642267,-5873.2966716391065,False
2008-12-08,26689.7726700735,-67992.32392345589,False
2008-12-09,26907.409083239647,50889.521396446056,True
2008-12-10,27040.81235285809,-19653.309825902004,False
2008-12-11,26893.791507767553,-2619.79036036214,False
2008-12-12,27452.800817399504,-369.4746320251561,False
2008-12-15,27181.33935659438,-7223.4832928010655,False
2008-12-16,29130.78976884225,-16185.177625580907,False
2008-12-17,28620.22363340032,4935.484180323743,False
2008-12-18,29360.760783973485,24070.42871153536,False
2008-12-19,28421.855477300254,11781.69507646757,False
2008-12-22,28273.42592267199,-3204.619864346936,False
2008-12-23,27677.102979973362,5123.652359134356,False
2008-12-24,26398.247041603157,-7498.038368971511,False
2008-12-26,26463.559626826172,-9038.707013329087,False
2008-12-29,26578.63290832557,-741.678537777168,False
2008-12-30,26563.66599530284,-3289.239058751152,False
2008-12-31,27808.10854298875,-12083.861292059157,False
2009-01-02,28211.347373049317,-20040.50412510497,False
2009-01-05,28465.967832315466,12396.539379808451,False
2009-01-06,28285.10940207143,-3888.1051234166216,False
2009-01-07,27666.668493818564,17971.215131168436,False
2009-01-08,27748.329624188944,-7391.691941494153,False
2009-01-09,26891.89711431503,7358.185447830472,False
2009-01-12,26770.88666707127,26678.978918767087,False
2009-01-13,27047.968629167415,4211.400818654192,False
2009-01-14,26679.918208576335,14813.68988783754,False
2009-01-15,26211.628331165954,-747.9762661602374,False
2009-01-16,26478.296667116716,-21957.130891070905,False
2009-01-20,25593.044747622374,-2407.8496833847403,False
2009-01-21,25544.93439997012,-14832.962367976215,False
2009-01-22,25350.01411101639,-3030.5818856672417,False
2009-01-23,26459.848496406055,-20739.521158174102,False
2009-01-26,25332.613159371063,-10527.70496155349,False
2009-01-27,25253.985298903204,9522.649452860229,False
2009-01-28,26599.039470675278,-6895.80931444936,False
2009-01-29,26308.727779023113,-10370.9859489983,False
2009-01-30,25429.691704679233,-3820.4240018180544,False
2009-02-02,25139.763199348115,19548.79411933986,False
2009-02-03,25331.12922664429,-11782.927826969571,False
2009-02-04,25402.715439426716,-2854.589642057214,False
2009-02-05,25615.088953466806,-5334.961276614158,False
2009-02-06,27862.020136395102,-10576.235236694114,False
2009-02-09,26114.693713914417,4401.078775123648,False
2009-02-10,26823.785884055516,8488.624773604291,False
2009-02-11,27624.423031320137,-902.8393040609208,False
2009-02-12,27277.32243666564,-1232.1309294321218,False
2009-02-13,26824.093568437125,-5027.647204848642,False
2009-02-17,26442.435265520195,10360.681062200374,False
2009-02-18,26534.013615399,-12760.53241043113,False
2009-02-19,26200.946853235724,-3641.596758093392,False
2009-02-20,25903.610886446044,-9590.029852322292,False
2009-02-23,25905.587041034778,7060.227842460316,False
2009-02-24,26552.202357457547,10546.09593375429,False
2009-02-25,25927.230480902737,2324.892284423282,False
2009-02-26,25619.047809059775,1589.0527362563507,False
2009-02-27,25867.630834161726,2768.3999868382925,False
2009-03-02,25881.06778728795,20926.53429513626,False
2009-03-03,25813.961484910647,4997.628075498292,False
2009-03-04,25506.895760570224,-4055.894259800586,False
2009-03-05,26427.933126473636,3482.447902063217,False
2009-03-06,24906.407584765173,-1580.6098039589897,False
2009-03-09,25196.642419274252,4262.422280665336,False
