"Family","logLik","AIC","BIC","KS_D","KS_p","KS_pass"
"JSU",15040.7,-30073.41,NA,0.0176,0.4345,TRUE
"GT",15040.05,-30072.1,NA,0.0153,0.6195,TRUE
"ST3",15035.67,-30063.34,NA,0.0212,0.2236,TRUE
"SST",15035.66,-30063.33,NA,0.0216,0.2049,TRUE
"TF",15034.33,-30062.67,NA,0.0214,0.2141,TRUE
"NET",14988.7,-29973.39,NA,0.0269,0.0586,TRUE
"LO",14966.78,-29929.57,NA,0.0354,0.0044,FALSE
"NO",14661.71,-29319.42,NA,0.0726,0,FALSE
