,factor,β_sign,t_sign,p_sign,β_neg_size,t_neg_size,p_neg_size,β_pos_size,t_pos_size,p_pos_size,F_joint,p_F_joint,verdict
0,EURUSD,-0.05779702894628602,-0.2639420510540811,0.7918975642482448,0.029150857676339872,0.19922434100760766,0.8421416193068054,0.1834817484599946,1.1304453453411183,0.25865241384934073,1.2373616426241962,0.29508909990518095,pass
1,GLD,0.1629545166012596,0.8577951451230397,0.3912814586209902,0.14003435901436134,1.0398932695058745,0.2987268515272552,0.1405024705051863,1.0409391743452847,0.29824146543213,0.7796815779750053,0.5054798955393455,pass
2,IEF,-0.30168567748539554,-1.6144034346516918,0.10686337195274365,-0.13943705785193145,-1.0382957126368313,0.29946926913500704,-0.005118740342250211,-0.03951693074140758,0.9684888422697966,1.2714544586638976,0.2830517516341389,pass
3,SPY,0.27919730997037784,1.3867713362333738,0.16592629307238688,0.05197921773963374,0.41923500709829087,0.6751652409357455,0.0082003118095383,0.05046121394886764,0.9597683824965119,1.182120010429064,0.31557051063331126,pass
4,VIX_ret,-0.029108051166440607,-0.07646299403547686,0.9390712830544593,0.08837668234519655,0.23838274550380295,0.8116498009080519,0.2746998672102942,1.3493477053787433,0.17763522447316604,1.1926650922339677,0.31156556664222157,pass
5,DGS10_chg,0.3490909250939003,1.7653045875191302,0.07792220679327352,0.08593213674115485,0.6378420608541159,0.5237724868085836,0.036744375362828124,0.25325429400109534,0.8001415804733578,1.625035048554954,0.18214837821218113,pass
