period,start,end,n_obs,expected_exceptions,exceptions,exception_rate,mean_VaR,mean_ES,max_VaR,max_actual_loss,avg_exception_loss,kupiec_p,christoffersen_p,note
Full sample,2007-12-31,2024-12-30,4269,42.69000000000004,511,0.11970016397282736,10823.17044618249,12426.796480032135,21308.611669213093,85514.15437349069,18793.002196489328,0.0,0.0,
GFC 2008,2008-09-15,2009-03-09,121,1.210000000000001,16,0.1322314049586777,17432.58822409721,19982.110328194685,20399.005129547775,51961.95995214784,27504.389578614842,1.2367884494324244e-13,1.1692868895352149e-12,
COVID 2020,2020-02-19,2020-03-23,24,0.2400000000000002,12,0.5,7077.9347848356965,8135.127235308835,9063.082479805405,44650.74243773664,24325.34743125066,,,< 50 obs; descriptive only
Rate Hikes 2022,2022-01-03,2022-09-30,188,1.8800000000000017,48,0.2553191489361702,10326.61278164366,11847.740543717524,12190.834291971085,56054.63970650208,20191.061091632724,0.0,0.0,
Non-crisis,2007-12-31,2024-12-30,3936,39.360000000000035,435,0.11051829268292683,10666.539080755138,12248.358878983567,21308.611669213093,85514.15437349069,18165.69836224099,0.0,0.0,non-contiguous; Christoffersen p descriptive only
