"Family","logLik","AIC","BIC","KS_D","KS_p","KS_pass"
"TF",-6647.97,13301.94,NA,0.0111,0.9254,TRUE
"SST",-6647.24,13302.48,NA,0.0113,0.9125,TRUE
"ST3",-6647.24,13302.48,NA,0.0113,0.9125,TRUE
"JSU",-6652.37,13312.75,NA,0.0113,0.9125,TRUE
"LO",-6667.44,13338.88,NA,0.0133,0.7825,TRUE
"NO",-6863.1,13730.2,NA,0.0395,0.001,FALSE
