threshold_q,mean_VaR,mean_ES,exceptions,exception_rate,kupiec_p,christoffersen_p,mean_xi,mean_e_EVT,fallback_days,n_q_below_threshold,n_alpha_below_threshold,n_few_exceedances,n_poor_ks,n_ES_empirical_fallback,n_ES_xi_ge_1
0.85,29191.96504376474,36650.17441507245,46,0.010775357226516749,0.61507608753268,0.719309782046872,-0.011218342232817575,3.4849633901438475,0,0,0,0,0,0,0
0.9,28987.88821363257,36956.459249738604,47,0.011009604122745374,0.5141610723915715,0.6743371531480757,0.009291747117325248,3.5233774822149866,0,0,0,0,0,0,0
0.925,28760.179076946763,37095.75436959993,48,0.011243851018973999,0.4232187018507855,0.6178487634236896,0.047843925794185574,3.515457173054823,0,0,0,0,0,0,0
0.95,29125.179974941944,37109.43771552193,49,0.011478097915202623,0.34297638877729875,0.5535289869650362,-0.006561039712999061,3.5263374235704057,0,0,0,0,0,0,0
