,VaR_MC,actual_loss,exception
2009-01-12,23690.124640293012,26678.978918767087,True
2009-01-13,22711.603052097777,4211.400818654192,False
2009-01-14,23360.030241184457,14813.68988783754,False
2009-01-15,23371.234969788602,-747.9762661602374,False
2009-01-16,23501.4123686214,-21957.130891070905,False
2009-01-20,23645.675407456147,-2407.8496833847403,False
2009-01-21,23091.12264832033,-14832.962367976215,False
2009-01-22,23351.606898982944,-3030.5818856672417,False
2009-01-23,23276.403735106873,-20739.521158174102,False
2009-01-26,22937.14295911028,-10527.70496155349,False
2009-01-27,23771.03324364061,9522.649452860229,False
2009-01-28,23580.88187659795,-6895.80931444936,False
2009-01-29,24034.8848292525,-10370.9859489983,False
2009-01-30,23704.727384307756,-3820.4240018180544,False
2009-02-02,23532.35218356038,19548.79411933986,False
2009-02-03,23574.792158465578,-11782.927826969571,False
2009-02-04,23804.51832621566,-2854.589642057214,False
2009-02-05,23740.45101562544,-5334.961276614158,False
2009-02-06,24407.24708485478,-10576.235236694114,False
2009-02-09,24280.425396075676,4401.078775123648,False
2009-02-10,24496.148927107824,8488.624773604291,False
2009-02-11,23693.342496365523,-902.8393040609208,False
2009-02-12,23849.132810277908,-1232.1309294321218,False
2009-02-13,24092.560307834487,-5027.647204848642,False
2009-02-17,23727.931977711152,10360.681062200374,False
2009-02-18,23957.92758646556,-12760.53241043113,False
2009-02-19,24109.514551735803,-3641.596758093392,False
2009-02-20,22924.00242876965,-9590.029852322292,False
2009-02-23,23568.372090728717,7060.227842460316,False
2009-02-24,23704.18630637147,10546.09593375429,False
2009-02-25,23003.45551327727,2324.892284423282,False
2009-02-26,25654.282533315767,1589.0527362563507,False
2009-02-27,23859.610907483395,2768.3999868382925,False
2009-03-02,23864.341819215053,20926.53429513626,False
2009-03-03,23328.23365069716,4997.628075498292,False
2009-03-04,22041.633410626768,-4055.894259800586,False
2009-03-05,23132.527650564825,3482.447902063217,False
2009-03-06,22681.255009049113,-1580.6098039589897,False
2009-03-09,23121.653615580253,4262.422280665336,False
2009-03-10,22931.84807149267,-1164.669344221791,False
2009-03-11,22534.097808873204,-6158.193773523488,False
2009-03-12,23291.731329952137,-10700.452716462734,False
2009-03-13,23574.773224512894,-2496.670289803741,False
2009-03-16,24761.791634842888,-3204.68718788905,False
2009-03-17,24166.354481035407,-5213.527767579016,False
2009-03-18,24746.36508637822,6127.510201975203,False
2009-03-19,25961.861556194817,-15408.325371534098,False
2009-03-20,25981.733148737665,5413.047348024509,False
2009-03-23,24380.626779873746,-8517.704583412726,False
2009-03-24,26525.417600173852,13700.256487026778,False
2009-03-25,26395.523970115384,-18238.87220848522,False
2009-03-26,26061.798719616512,113.8024023642938,False
2009-03-27,26895.65153846867,14154.532405526532,False
2009-03-30,26919.26350932833,16316.298655301887,False
2009-03-31,25208.882563039042,-2755.123606558125,False
2009-04-01,25742.173034889565,-5476.087947631853,False
2009-04-02,26219.917790920033,-7539.566736792115,False
2009-04-03,27493.193829074517,-5961.994899127626,False
2009-04-06,28103.84867079752,12355.4879317207,False
2009-04-07,27514.230099253826,-2741.1954848612118,False
2009-04-08,26884.630781568267,4312.335558975638,False
2009-04-09,24684.348836685454,-10622.574515772634,False
2009-04-13,24723.477201297355,-6552.474439035764,False
2009-04-14,25820.5350402006,13628.028468428376,False
2009-04-15,24521.05469930309,-3324.907269929044,False
2009-04-16,24322.749847916,3652.645878193256,False
2009-04-17,24707.169153113377,-3086.981441969575,False
2009-04-20,25229.283972032783,9106.22137933834,False
2009-04-21,24267.926580493873,-7065.361377768364,False
2009-04-22,24483.62273677119,-5074.976222306735,False
2009-04-23,24070.195228260516,-9407.852516106346,False
2009-04-24,24953.459479040303,-14735.299120735584,False
2009-04-27,25868.792407553523,16018.084367060825,False
2009-04-28,25679.43230968211,-2278.273897152184,False
2009-04-29,25557.49133897685,-14315.060516878391,False
2009-04-30,26226.538731217657,2869.5111164881064,False
2009-05-01,25236.823771631236,-3366.0845299216526,False
2009-05-04,25608.89811326618,-19191.37925569368,False
2009-05-05,27960.91255458662,4458.351536358345,False
2009-05-06,27921.3707835802,-9762.394454848602,False
2009-05-07,28064.46183568531,-3164.49994285356,False
2009-05-08,27648.623653996492,-15399.85101202815,False
2009-05-11,27741.089509932397,15610.380303336173,False
2009-05-12,28854.924366916162,-4661.607296011558,False
2009-05-13,28690.92738329219,11001.147188566923,False
2009-05-14,27947.893152795303,-2447.68507251846,False
2009-05-15,28110.703314506798,386.66590546808857,False
