,Mean,Std,Min,Max,Skewness,Excess Kurtosis,KS statistic,KS p-value,KS Normal?
pnl_linear,207.4703917064623,4979.25819724045,-43098.718472295695,53117.32707768205,-0.11427913315222109,11.144943774827672,0.07165380803105334,9.755045484572688e-22,NO
pnl_irs,3.562728162262117,5586.225153470586,-49741.58522085751,29354.117240717693,-0.14892096448714495,2.914665126274401,0.057347666212438725,4.488071260938322e-14,NO
pnl_straddle,-104.50753922021005,3585.310714088114,-38978.69746488716,53634.78602933888,1.8520277655591921,39.01456348891281,0.20538434202543365,6.912799212516769e-177,NO
pnl_total,106.52558064851436,6993.229027228815,-52939.69799366984,62557.376955715925,-0.13834899478787965,5.6293438357672585,0.06165802488600089,3.3321640399326555e-16,NO
