,pnl,actual_loss,VaR_HS_VolAdj,ES_HS_VolAdj,tail_scenarios,snapshot_date,current_portfolio_value,avg_vol_ratio,exception
2008-02-01,-11258.238807725487,11258.238807725487,30962.325495656114,35867.112064224995,5,2008-01-31,1379648.6281572846,1.7356842629778537,0
2008-02-04,-119.12435812689364,119.12435812689364,32020.91458174307,36687.47590144025,5,2008-02-01,1368390.389349559,1.7412758099435572,0
2008-02-05,-19225.709043735405,19225.709043735405,30854.3147265031,35705.271679187426,5,2008-02-04,1368271.2649914322,1.7350030748771692,0
2008-02-06,3599.871402154444,-3599.871402154444,29994.03287505149,34680.73305261457,5,2008-02-05,1349045.5559476968,1.7296155083082994,0
2008-02-07,8906.221392757958,-8906.221392757958,30032.942255842267,34805.20086314776,5,2008-02-06,1352645.4273498512,1.7272419196569488,0
2008-02-08,21426.120083578862,-21426.120083578862,30374.338914872846,35166.85151789347,5,2008-02-07,1361551.6487426092,1.740865722447305,0
2008-02-11,-21157.93200146174,21157.93200146174,29847.97318987013,35306.56002780814,5,2008-02-08,1382977.768826188,1.8353628087768277,0
2008-02-12,-4249.798365575029,4249.798365575029,30092.141993946396,35917.435005255466,5,2008-02-11,1361819.8368247263,1.8866904120424859,0
2008-02-13,3046.6372586034704,-3046.6372586034704,30191.090805677,36048.61952280319,5,2008-02-12,1357570.0384591513,1.886940820878979,0
2008-02-14,11711.384835567093,-11711.384835567093,29759.846526879817,35403.69569357005,5,2008-02-13,1360616.6757177548,1.8691173382394828,0
2008-02-15,-8799.501614400186,8799.501614400186,30228.0823952707,35357.77842219798,5,2008-02-14,1372328.0605533218,1.8743816852648718,0
2008-02-19,20881.381722479127,-20881.381722479127,30395.54766274593,35260.00084592444,5,2008-02-15,1363528.5589389217,1.8642669431061047,0
2008-02-20,10498.143263729988,-10498.143263729988,30492.99046264449,35691.738748405405,5,2008-02-19,1384409.9406614008,1.8660351352543751,0
2008-02-21,-8788.500380330486,8788.500380330486,30542.32143677585,35976.62035557199,5,2008-02-20,1394908.0839251308,1.8516585846356433,0
2008-02-22,2074.019377058372,-2074.019377058372,31081.242264103144,35774.93403577143,5,2008-02-21,1386119.5835448003,1.854539140490771,0
2008-02-25,5742.494929110864,-5742.494929110864,30985.442292679567,35516.384226098984,5,2008-02-22,1388193.6029218587,1.8154149967472624,0
2008-02-26,6781.249075670261,-6781.249075670261,30954.957450900692,35283.784464565295,5,2008-02-25,1393936.0978509695,1.8029922121033284,0
2008-02-27,13645.466953908792,-13645.466953908792,24035.509233028628,31024.097156048705,5,2008-02-26,1400717.3469266398,1.7812107252109504,0
2008-02-28,-2900.2880932837725,2900.2880932837725,31542.406664879294,37800.59637637269,5,2008-02-27,1414362.8138805486,1.7702825208462734,0
2008-02-29,-14845.399053038564,14845.399053038564,31661.4241030938,37706.978673298334,5,2008-02-28,1411462.5257872648,1.7791204002030978,0
2008-03-03,4314.66659565107,-4314.66659565107,31653.26767609315,37295.59583236002,5,2008-02-29,1396617.1267342262,1.7998574478182252,0
2008-03-04,-4786.767187354388,4786.767187354388,31662.427468009293,37328.25975651322,5,2008-03-03,1400931.7933298773,1.7939413848571253,0
2008-03-05,18398.253162475303,-18398.253162475303,31481.588039534166,37105.39551142487,5,2008-03-04,1396145.026142523,1.7879615438829122,0
2008-03-06,-10800.230064023053,10800.230064023053,32129.03425653535,38087.13213064135,5,2008-03-05,1414543.2793049982,1.7804398403793618,0
2008-03-07,-8854.08708290616,8854.08708290616,31800.157435175264,37491.40790219246,5,2008-03-06,1403743.0492409752,1.7839525163048482,0
2008-03-10,-8631.410811682232,8631.410811682232,31871.471825707704,37123.866205046514,5,2008-03-07,1394888.962158069,1.777527818221673,0
2008-03-11,13645.663764618337,-13645.663764618337,31979.125038580503,36614.28647072842,5,2008-03-10,1386257.5513463868,1.7433560407837738,0
2008-03-12,1715.1645040402655,-1715.1645040402655,31446.011723684613,37168.045978980095,5,2008-03-11,1399903.2151110051,1.766735970048168,0
2008-03-13,12252.538911264623,-12252.538911264623,32009.202958943788,36712.25342056765,5,2008-03-12,1401618.3796150454,1.757662320620746,0
2008-03-14,-6745.099282774841,6745.099282774841,32012.710366935702,36976.80342358015,5,2008-03-13,1413870.91852631,1.7516694967747342,0
2008-03-17,-3396.8605857449584,3396.8605857449584,32336.28753479151,36880.247789584755,5,2008-03-14,1407125.8192435352,1.7598130046541158,0
2008-03-18,-61.465464944019914,61.465464944019914,32777.34984012204,36963.76967318789,5,2008-03-17,1403728.9586577902,1.7558229753266177,0
2008-03-19,-25899.16027022386,25899.16027022386,32412.50911921449,38167.82916644947,5,2008-03-18,1403667.4931928462,1.8062906951025284,0
2008-03-20,-19411.684078603517,19411.684078603517,32504.61487373407,38209.10804698682,5,2008-03-19,1377768.3329226223,1.8302529377701395,0
2008-03-24,16886.190247086808,-16886.190247086808,32732.72180393641,38595.61078017969,5,2008-03-20,1358356.6488440188,1.8261597827434246,0
2008-03-25,12956.222261908697,-12956.222261908697,33851.83287776122,39667.778036481235,5,2008-03-24,1375242.8390911056,1.8663347443561502,0
2008-03-26,6809.912357569905,-6809.912357569905,34611.42145366571,40710.27106257938,5,2008-03-25,1388199.0613530143,1.8623653909467717,0
2008-03-27,871.8996030942071,-871.8996030942071,34222.64250075957,40439.671168991175,5,2008-03-26,1395008.9737105842,1.853614612909545,0
2008-03-28,-16584.35082817846,16584.35082817846,33726.08931550942,39907.12528508436,5,2008-03-27,1395880.8733136784,1.8424417776057596,0
