"Family","logLik","AIC","BIC","KS_D","KS_p","KS_pass"
"GT",-10000.25,20008.49,NA,0.0187,0.3604,TRUE
"JSU",-10026.2,20060.41,NA,0.017,0.4797,TRUE
"TF",-10070.53,20147.07,NA,0.0245,0.1075,TRUE
"ST3",-10070.38,20148.75,NA,0.0253,0.0877,TRUE
"SST",-10090.44,20188.89,NA,0.0333,0.0089,FALSE
"NET",-10255.02,20514.03,NA,0.0535,0,FALSE
"LO",-10639.79,21283.58,NA,0.0936,0,FALSE
"NO",-11381.53,22767.06,NA,0.1427,0,FALSE
