cov_structure,mean_VaR,mean_ES,exceptions,exception_rate,kupiec_p,christoffersen_p,mean_diversif_benefit,mean_diversif_pct
full,10823.17044618249,12426.796480032135,511,0.11970016397282736,0.0,0.0,,
diagonal,10325.793763005564,11856.96966106675,539,0.12625907706722886,0.0,0.0,-497.37668317692686,-0.028530431437253496
