refit_id,instrument,dist_name,aic,ks_pvalue,params,aic_normal
2007-12-31,EURUSD,norm,-4006.414058729298,0.8209756115252579,"(np.float64(0.0003971235517710854), np.float64(0.004385934373003122))",-4006.414058729298
2007-12-31,GLD,genlogistic,-2938.8307453163197,0.7391843205432078,"(np.float64(0.6866603547323059), np.float64(0.005041641609150841), np.float64(0.006109405852409653))",-2898.970501687858
2007-12-31,IEF,logistic,-4328.167001530333,0.915150298058813,"(np.float64(0.0001978151119432167), np.float64(0.001771048918789298))",-4306.837018689011
2007-12-31,SPY,laplace,-3437.7935532357947,0.9527698441784342,"(np.float64(0.0007762842679868), np.float64(0.005887400418747901))",-3363.1767182675203
2009-01-12,EURUSD,t,-3435.1988441198737,0.6157406870853652,"(np.float64(1.632251106252187), np.float64(0.0002715394218846251), np.float64(0.0039686949948560205))",-2759.500749813567
2009-01-12,GLD,t,-2759.6303269290147,0.870130549633013,"(np.float64(3.5824066889615516), np.float64(0.0011356117995238997), np.float64(0.011341347198211081))",-2679.790770038296
2009-01-12,IEF,logistic,-3858.837204093865,0.784316039965961,"(np.float64(0.00047918117287585693), np.float64(0.002829660794727606))",-3839.5137511226158
2009-01-12,SPY,gennorm,-2733.2585959456596,0.29820572070452955,"(np.float64(0.6922857953897035), np.float64(0.0002757971598732194), np.float64(0.005957054695931356))",-2499.2777165073194
2010-01-08,EURUSD,t,-3187.755510141563,0.981144501217134,"(np.float64(2.2012666807077848), np.float64(2.2189403001059316e-05), np.float64(0.006081808848281365))",-2716.233735249294
2010-01-08,GLD,t,-2698.816011428762,0.9948767117462703,"(np.float64(4.45218337503584), np.float64(0.000917792870526603), np.float64(0.012791884179241497))",-2641.758469462881
2010-01-08,IEF,t,-3684.6369182485396,0.872078198456851,"(np.float64(10.972061397912237), np.float64(0.00015942769646548534), np.float64(0.005501910347945427))",-3674.262244202723
2010-01-08,SPY,gennorm,-2540.3106231117918,0.4299076754174854,"(np.float64(0.8288795171204748), np.float64(0.0006375770406862984), np.float64(0.010607749037801945))",-2398.4282506193313
2011-01-05,EURUSD,t,-3462.3809946431124,0.9756505141515945,"(np.float64(14.492848233714135), np.float64(3.903702648700581e-05), np.float64(0.007030820565414596))",-3459.519742871359
2011-01-05,GLD,genlogistic,-3040.6346267879017,0.9954177103435073,"(np.float64(0.7940674074801577), np.float64(0.0032855720734266004), np.float64(0.005868812695231971))",-3018.3329124710926
2011-01-05,IEF,t,-3816.022122449189,0.5518341105462454,"(np.float64(10.354694753244626), np.float64(7.81102847577022e-05), np.float64(0.004797270064154271))",-3800.017159086513
2011-01-05,SPY,gennorm,-2926.5784772499637,0.6050451026440564,"(np.float64(0.885008182725814), np.float64(0.0008440696658518654), np.float64(0.008097387298569795))",-2834.102804947952
2012-01-03,EURUSD,norm,-3452.167464287932,0.45586763939606134,"(np.float64(-0.00020025527569829542), np.float64(0.007634284960907379))",-3452.167464287932
2012-01-03,GLD,genlogistic,-3066.182195990453,0.7644039070847161,"(np.float64(0.652546693644314), np.float64(0.004673507178169178), np.float64(0.0052140940260453975))",-3021.7703270575535
2012-01-03,IEF,norm,-3875.1583859620687,0.5034525215472238,"(np.float64(0.0004641014603453011), np.float64(0.005001102358408025))",-3875.1583859620687
2012-01-03,SPY,laplace,-3004.730755048507,0.6287851282112304,"(np.float64(0.00078711892677795), np.float64(0.009078212784816927))",-2917.381380887222
2013-01-02,EURUSD,genlogistic,-3595.371810674038,0.9853996726808147,"(np.float64(0.7523492908586896), np.float64(0.0016417185995761634), np.float64(0.0033103872393374233))",-3584.2737124691093
2013-01-02,GLD,laplace,-3122.90581572541,0.931692346168206,"(np.float64(0.00073857676473435), np.float64(0.00806635964067451))",-3057.4390136315533
2013-01-02,IEF,t,-4000.361688041396,0.6409092937402745,"(np.float64(16.45404786417138), np.float64(0.00036530540672811594), np.float64(0.004140412266598795))",-3999.390448063881
2013-01-02,SPY,laplace,-3117.6086632316324,0.9918524525082192,"(np.float64(0.00058206046976265), np.float64(0.008109201748170636))",-3020.640355854452
