instrument,series,lags,lb_stat,lb_pvalue
EURUSD,returns,10,207.84966769759637,3.711587548084246e-39
EURUSD,squared_returns,10,1143.5860746797325,2.114592718290862e-239
EURUSD,returns,20,226.0952783601823,7.232696158990124e-37
EURUSD,squared_returns,20,1153.4973666965445,6.563934567985724e-232
GLD,returns,10,6.939463964249247,0.7311473037088952
GLD,squared_returns,10,588.2707429964712,5.7350219229337154e-120
GLD,returns,20,24.653135590423005,0.21502473864517416
GLD,squared_returns,20,1186.5804548715507,5.541112154502017e-239
IEF,returns,10,25.30500297417566,0.004796399308015171
IEF,squared_returns,10,1055.7347873871877,1.8335341753537292e-220
IEF,returns,20,35.34236838931484,0.01835483612620022
IEF,squared_returns,20,1445.3899120214464,2.059849209198166e-294
SPY,returns,10,92.43061484199728,1.763063951156305e-15
SPY,squared_returns,10,4470.1729861220365,0.0
SPY,returns,20,141.48157042983246,2.648759943015082e-20
SPY,squared_returns,20,6345.172150200727,0.0
