"Family","logLik","AIC","BIC","KS_D","KS_p","KS_pass"
"JSU",-8454.91,16917.82,NA,0.0199,0.2902,TRUE
"GT",-8461.67,16931.34,NA,0.0203,0.2691,TRUE
"ST3",-8469.8,16947.6,NA,0.0243,0.1132,TRUE
"SST",-8469.9,16947.8,NA,0.0247,0.1029,TRUE
"TF",-8476.9,16959.8,NA,0.0197,0.3015,TRUE
"NET",-8562.94,17129.88,NA,0.0391,0.0012,FALSE
"LO",-8971.29,17946.57,NA,0.0795,0,FALSE
"NO",-9922.89,19849.78,NA,0.1336,0,FALSE
