,VaR_full,VaR_diagonal,ES_full,ES_diagonal,diversif_benefit,sigma_full,sigma_diagonal
2008-01-29,11149.708222641748,9566.096661564114,12842.557350991325,11028.2697720847,-1583.6115610776342,4995.624814351101,4314.896201597705
2008-01-30,11153.14494067051,9567.71751532815,12846.213250699622,11029.845300531857,-1585.427425342361,4996.27162298797,4314.762445863703
2008-01-31,11146.422385376394,9561.791045425165,12839.344140445663,11023.888237065366,-1584.6313399512292,4995.839136960834,4314.672163769184
2008-02-01,11128.99148657512,9553.919604850966,12821.80944278634,11017.305471526732,-1575.071881724154,4995.532824872958,4318.475064380641
2008-02-04,11135.457289132753,9584.178360539072,12828.66461100416,11051.41938197093,-1551.2789285936815,4996.681849154754,4329.851687636767
2008-02-05,11068.883599071747,9523.860407419366,12754.32445264795,10984.246199474497,-1545.0231916523808,4973.76287717689,4309.621796260779
2008-02-06,11172.551077199369,9592.82025885156,12868.76747326821,11058.92592361819,-1579.730818347809,5005.561675169472,4326.501231984836
2008-02-07,11167.041395401107,9594.265091598927,12860.782715330766,11058.90870624914,-1572.7763038021803,4998.257685953164,4322.1866987407975
2008-02-08,11117.10991156282,9566.437337767522,12805.71022556717,11029.159675712948,-1550.6725737952984,4983.086495360281,4316.5169805001515
2008-02-11,11258.703634899312,9680.531015352344,12975.832728994239,11167.776352425371,-1578.1726195469673,5067.275381042371,4388.884742583945
2008-02-12,11398.05365673436,9883.058116350052,13129.375248753322,11393.69861025508,-1514.9955403843087,5109.1576690854035,4457.924224040584
2008-02-13,11396.695545024928,9896.137306739995,13127.902593566243,11408.76625984703,-1500.5582382849334,5108.819649453486,4463.792198903504
2008-02-14,11393.333591163118,9901.586505547892,13122.78297578929,11413.74126706361,-1491.7470856152268,5103.632755168148,4462.392851944182
2008-02-15,11400.574323807312,9912.569637679459,13129.844631247799,11425.090456834272,-1488.0046861278533,5103.104295533137,4463.4730938834855
2008-02-19,11400.715437180113,9914.075492877442,13129.992132985995,11426.80149486047,-1486.6399443026712,5103.12314770145,4464.078591686534
2008-02-20,11408.990968061136,9929.783039207909,13140.527597102922,11445.851555389532,-1479.2079288532277,5109.7922467741255,4473.942404470076
2008-02-21,11390.687982597296,9915.114875688674,13122.154557908016,11431.642802732891,-1475.5731069086214,5109.585517094914,4475.298133262862
