,VaR,VaR_raw,actual_loss,exception,sigma_hat,mu_hat,q_EVT,xi,xi_raw,xi_clamped,ks_pvalue,fallback_type,threshold_u,N_u,f_u_hat
2007-12-31,26363.355606637917,26363.355606637917,11199.976273539649,0,0.009173341397967253,0.0006789628631156081,2.9479245671316576,0.08172239303584106,0.08172239303584106,False,0.9759046684876472,none,1.1880568126811561,50,0.9
2008-01-02,26548.014595485158,26548.014595485158,-2580.27634467437,0,0.009360500509212551,0.0006789628631156081,2.9087095750707057,0.15612093323264048,0.15612093323264048,False,0.8983777208190837,none,1.2301481930170084,50,0.9
2008-01-03,25356.94755370807,25356.94755370807,-3775.234223822064,0,0.008951017537112069,0.0006789628631156081,2.9087095750707057,0.15612093323264048,0.15612093323264048,False,0.8983777208190837,none,1.2301481930170084,50,0.9
2008-01-04,24316.246602847237,24316.246602847237,8620.214514355599,0,0.008593229685144917,0.0006789628631156081,2.9087095750707057,0.15612093323264048,0.15612093323264048,False,0.8983777208190837,none,1.2301481930170084,50,0.9
2008-01-07,24366.189626188116,24366.189626188116,4680.594752085621,0,0.00861039985014486,0.0006789628631156081,2.9087095750707057,0.15612093323264048,0.15612093323264048,False,0.8983777208190837,none,1.2301481930170084,50,0.9
2008-01-08,23647.62091901983,23647.62091901983,-26414.479889681123,0,0.008363359474121475,0.0006789628631156081,2.9087095750707057,0.15612093323264048,0.15612093323264048,False,0.8983777208190837,none,1.2301481930170084,50,0.9
2008-01-09,30526.340903939876,30526.340903939876,22605.07966286689,0,0.010728229464537359,0.0006789628631156081,2.9087095750707057,0.15612093323264048,0.15612093323264048,False,0.8983777208190837,none,1.2301481930170084,50,0.9
2008-01-10,34707.74088016762,34707.74088016762,-17597.24177564428,0,0.012099155094025907,0.0006789628631156081,2.924725195130014,0.15124220182153122,0.15124220182153122,False,0.8143513767864511,none,1.2498662453208484,50,0.9
2008-01-11,35704.60378948935,35704.60378948935,4715.8227861864725,0,0.012439994948307472,0.0006789628631156081,2.924725195130014,0.15124220182153122,0.15124220182153122,False,0.8143513767864511,none,1.2498662453208484,50,0.9
2008-01-14,34224.41338309227,34224.41338309227,-11623.456178974317,0,0.011933899398249724,0.0006789628631156081,2.924725195130014,0.15124220182153122,0.15124220182153122,False,0.8143513767864511,none,1.2498662453208484,50,0.9
2008-01-15,33894.604411194974,33894.604411194974,20077.877742710683,0,0.011761537554908446,0.0006789628631156081,2.9395448607722194,0.11981341182317057,0.11981341182317057,False,0.8373685701363492,none,1.2301481930170084,50,0.9
2008-01-16,36334.01059138623,36334.01059138623,9699.36920283811,0,0.01259681340010918,0.0006789628631156081,2.9382806809046667,0.12600707114249649,0.12600707114249649,False,0.7789368459933479,none,1.2498662453208484,50,0.9
2008-01-17,35548.39168843378,35548.39168843378,9406.802644018388,0,0.012329439725409539,0.0006789628631156081,2.9382806809046667,0.12600707114249649,0.12600707114249649,False,0.7789368459933479,none,1.2498662453208484,50,0.9
2008-01-18,34771.33979494037,34771.33979494037,-809.969422958724,0,0.012064981704586914,0.0006789628631156081,2.9382806809046667,0.12600707114249649,0.12600707114249649,False,0.7789368459933479,none,1.2498662453208484,50,0.9
2008-01-22,33068.32877277372,33068.32877277372,237.98048276518605,0,0.011485387306667679,0.0006789628631156081,2.9382806809046667,0.12600707114249649,0.12600707114249649,False,0.7789368459933479,none,1.2498662453208484,50,0.9
2008-01-23,31469.59571226101,31469.59571226101,465.1558630757845,0,0.010941282357503846,0.0006789628631156081,2.9382806809046667,0.12600707114249649,0.12600707114249649,False,0.7789368459933479,none,1.2498662453208484,50,0.9
2008-01-24,29966.93301797285,29966.93301797285,-25180.642219630325,0,0.010429873524422078,0.0006789628631156081,2.9382806809046667,0.12600707114249649,0.12600707114249649,False,0.7789368459933479,none,1.2498662453208484,50,0.9
