"Family","logLik","AIC","BIC","KS_D","KS_p","KS_pass"
"SST",-6725.73,13459.45,NA,0.0273,0.0528,TRUE
"ST3",-6725.73,13459.45,NA,0.0273,0.0528,TRUE
"TF",-6726.78,13459.56,NA,0.0316,0.0155,FALSE
"JSU",-6727.04,13462.08,NA,0.029,0.0333,FALSE
"LO",-6736.09,13476.19,NA,0.0293,0.0306,FALSE
"NO",-6766.35,13536.7,NA,0.0246,0.1053,TRUE
