,loss_pct,q_sim,q_hist,ratio,verdict
0,0.1,-73040.8404802587,-70840.8505714504,1.0310553852907185,pass
1,0.5,-57954.720790235544,-49938.218871013625,1.1605283908891404,pass
2,1.0,-50163.105942301874,-42327.134370619715,1.1851287994854938,pass
3,2.5,-39281.48326653913,-32686.7840422747,1.2017542997116921,pass
4,5.0,-31657.838564326245,-27030.49905677347,1.1711895698945647,pass
