"Family","logLik","AIC","BIC","KS_D","KS_p","KS_pass"
"JSU",7010.75,-14013.51,NA,0.0526,0,FALSE
"TF",7009.68,-14013.36,NA,0.0544,0,FALSE
"SST",7010.36,-14012.72,NA,0.0522,0,FALSE
"ST3",7010.36,-14012.72,NA,0.0522,0,FALSE
"GT",7009.84,-14011.68,NA,0.0538,0,FALSE
"LO",7000.52,-13997.03,NA,0.0544,0,FALSE
"NET",6946.61,-13889.21,NA,0.0532,0,FALSE
"NO",6852.22,-13700.45,NA,0.0712,0,FALSE
