source,mean,std,skew,kurtosis,q0.5%,q1.0%,q5.0%,q25.0%,q50.0%,q75.0%,q95.0%,q99.0%,q99.5%
"Simulated (MC, final window)",2164.25307584488,17534.696075855918,0.30983786017762305,0.9524023781900595,-43380.669412761825,-37419.66082702554,-25347.84225764743,-9124.092567908798,1439.794052984532,12701.389550400532,31657.838564326226,50163.10594230188,57954.72079023542
Realised P&L (full backtest),613.2801897600533,11484.962959485063,-0.30255789371542713,5.943887700282028,-39702.621361784346,-33926.03061619917,-16918.867606317275,-4495.220884220751,767.8257602476169,6018.457107110795,18152.83235383389,30156.345310522905,38267.19006297224
Realised P&L (last 500 days),1154.7606063665853,16693.02051054855,-0.09105752886343658,1.862252845137074,-51211.85988347495,-42294.73305887105,-27604.465023615317,-8552.026507938857,1533.2337603287067,11574.477132403223,27030.499056773464,42327.134370619686,49938.218871013625
