"Family","logLik","AIC","BIC","KS_D","KS_p","KS_pass"
"GT",15141.27,-30274.54,NA,0.0188,0.3574,TRUE
"JSU",15136.81,-30265.62,NA,0.0208,0.2435,TRUE
"SST",15122.45,-30236.89,NA,0.0266,0.0639,TRUE
"ST3",15122.45,-30236.89,NA,0.0266,0.0639,TRUE
"TF",15117.24,-30228.48,NA,0.0274,0.0508,TRUE
"NET",15059.52,-30115.05,NA,0.0386,0.0014,FALSE
"LO",14856.83,-29709.66,NA,0.0575,0,FALSE
"NO",14237.35,-28470.7,NA,0.1148,0,FALSE
