refit_id,cvm_obs,q025,q95,q975,reject_5pct,p_value
2007-12-31,0.19238,0.08669480000000002,0.5539626,0.6356409000000001,0,0.7122877122877123
2009-01-12,0.055956,0.048402900000000006,0.18367119999999992,0.20861709999999997,0,0.8971028971028971
2010-01-08,0.06149600000000001,0.059016,0.2458865999999998,0.28556459999999995,0,0.965034965034965
2011-01-05,0.04668799999999999,0.0545674,0.22906159999999992,0.2724579,0,0.994005994005994
2012-01-03,0.05724799999999999,0.03738740000000001,0.1127386,0.125819,0,0.6043956043956044
2013-01-02,0.07305600000000001,0.04087060000000001,0.13940779999999997,0.1540592,0,0.5104895104895105
2013-12-30,0.054787999999999996,0.0417833,0.13459479999999996,0.15883689999999998,0,0.8161838161838162
2014-12-26,0.071632,0.0500735,0.14773740000000002,0.165701,0,0.7532467532467533
2015-12-23,0.053244000000000014,0.0376423,0.1263174,0.14812219999999995,0,0.7152847152847153
2016-12-20,0.051508,0.04658270000000001,0.1426026,0.1644226,0,0.9500499500499501
2017-12-18,0.079584,0.05109089999999999,0.23411859999999998,0.2720162,0,0.7192807192807192
2018-12-17,0.099332,0.053494799999999995,0.17706419999999998,0.19656139999999994,0,0.4205794205794206
2019-12-13,0.08614400000000003,0.05053159999999998,0.18013139999999997,0.19887790000000002,0,0.5334665334665335
2020-12-10,0.08349200000000001,0.03823169999999999,0.13765299999999991,0.16705289999999995,0,0.2727272727272727
2021-12-08,0.08446000000000001,0.054183499999999996,0.1740886,0.2001152,0,0.6143856143856143
2022-12-06,0.07434,0.056577200000000015,0.23392419999999997,0.2773691999999999,0,0.8121878121878122
2023-12-05,0.053751999999999994,0.058177699999999985,0.20122059999999994,0.22341359999999988,0,0.99000999000999
2024-12-03,0.05588799999999999,0.0513545,0.18322219999999997,0.21335279999999998,0,0.9500499500499501
