period,start,end,n_obs,expected_exceptions,exceptions,exception_rate,mean_VaR,mean_ES,max_VaR,max_ES,mean_sigma_hat,max_sigma_hat,mean_q_EVT,mean_e_EVT,max_actual_loss,avg_actual_loss,avg_exception_loss,max_exception_loss,kupiec_p,christoffersen_p,note
Full sample,2007-12-31,2024-12-30,4269,42.69000000000004,47,0.011009604122745374,28987.88821363257,36956.459249738604,96920.61215609197,114052.91594551428,0.010520382609034432,0.031506983323076956,2.7615058078454737,3.5233774822149866,85514.15437349069,-526.133858292967,33830.06627262439,85514.15437349069,0.5141610723915715,0.6743371531480757,
GFC 2008,2008-09-15,2009-03-09,121,1.210000000000001,1,0.008264462809917356,50288.159838790554,63542.136572979834,83499.16621372008,104791.77284545777,0.016733103674486768,0.027377743214945127,3.0388003899070015,3.8302891059975592,51961.95995214784,975.0424677700453,51961.95995214784,51961.95995214784,0.8431968586092233,0.9724203927468753,
COVID 2020,2020-02-19,2020-03-23,24,0.2400000000000002,3,0.125,37699.5929392322,44505.99772865601,59067.88371335847,69362.53096919776,0.01309446355453441,0.019714459856596214,2.87849749163345,3.37578863123905,44650.74243773664,7919.238400310759,37773.865273031835,44650.74243773664,,,short period; descriptive only
Rate Hikes 2022,2022-01-03,2022-09-30,188,1.8800000000000017,1,0.005319148936170213,41067.88403861878,53462.0035124184,55053.599591202204,74102.93198859546,0.014533512668208213,0.019693825970688097,2.898359814646308,3.787109497933737,56054.63970650208,1315.0002007581097,56054.63970650208,56054.63970650208,0.4787932655003462,0.7740013197759046,
Non-crisis,2007-12-31,2024-12-30,3936,39.360000000000035,42,0.010670731707317074,27702.966212830765,35304.7574710318,96920.61215609197,114052.91594551428,0.010122012272973355,0.031506983323076956,2.745731164014449,3.5022454209829252,85514.15437349069,-711.7193442588504,32587.49807941907,85514.15437349069,0.675678856016836,0.7078488357186288,
