threshold_q,mean_VaR,mean_ES,max_ES,exceptions,exception_rate,kupiec_p,christoffersen_p,mean_xi,n_q_below_threshold,n_xi_clamped,n_few_exceedances,n_poor_ks,n_ES_fallback,n_ES_xi_ge_1
0.85,28670.28897998042,37793.76049187966,75601.29906338282,69,0.016163035839775124,0.00020293648548752596,9.605082390196085e-05,0.024998896757863768,0,0,0,0,0,0
0.9,28851.492615953724,37626.779597553534,84336.14261253225,65,0.015226048254860623,0.0014407343520274063,0.0004109748099093702,-0.015174410256082871,0,2,0,0,0,0
0.925,29041.94332849794,37556.16723531269,74841.87173678198,66,0.015460295151089248,0.0009013953676449971,0.00029341511961999966,-0.05149077364023155,0,17,0,0,0,0
0.95,29292.721653903205,38393.54454011172,616811.1603164967,61,0.014289060669946124,0.008140238851908732,0.005758453920296058,-0.09170835039842508,0,299,0,0,6,6
