window,observations,expected_exceptions,observed_exceptions,exception_rate,kupiec_pvalue,christoffersen_ind_pvalue,christoffersen_cc_pvalue,exception_severity,mean_var,mean_es
250,4519,45.2,70,0.01549015268864793,0.0005972400046141413,9.60094451551985e-06,1.5391127672348404e-07,6930.620639950749,29267.57480711074,33825.050694093654
500,4269,42.7,42,0.009838369641602248,0.9152472614600319,4.1254471951912564e-05,0.00022217297797888502,8452.57177554138,33057.4225315547,40358.10713665769
750,4019,40.2,25,0.006220452848967405,0.009636974893949324,9.810966908885277e-06,1.996054554309623e-06,10470.542361357286,33592.580747429754,42562.116807109676
