window,n_backtest_days,mean_VaR,mean_ES,max_VaR,exceptions,exception_rate,kupiec_p,christoffersen_p
250,4519,10502.644171136408,12061.660295536538,27470.003500759845,542,0.11993803938924541,0.0,0.0
500,4269,10823.17044618249,12426.796480032135,21308.611669213093,511,0.11970016397282736,0.0,0.0
750,4019,10853.413684620396,12460.769398763961,18539.250786407752,454,0.11296342373724808,0.0,0.0
