factor,p_resid_lag5,p_sq_resid_lag5,p_resid_lag10,p_sq_resid_lag10,p_resid_lag20,p_sq_resid_lag20
EURUSD,0.7828260985283255,0.6632240689804338,0.6403453024538344,0.917879319938838,0.9402789110159846,0.9739512239679583
GLD,0.040407133185809484,0.2405759970946422,0.23811827103120575,0.5860192124270451,0.19124718843283978,0.7229458955014404
IEF,0.5114211802984933,0.05005346499049962,0.858194569282085,0.059820262663633626,0.49318798654267015,0.2594025622163582
SPY,0.4102237049016027,0.7507098087778015,0.6645081862504312,0.9090795721332945,0.22888554968693897,0.9504601366063692
VIX_ret,0.3084175788216432,0.9286978888225963,0.5909882591701264,0.9732494541453733,0.7798301510180328,0.9993977023236073
DGS10_chg,0.3788507145280993,0.9058195310407412,0.6959996947614079,0.8568799746364864,0.4832087499871185,0.9467263117338812
