distribution,nu,z_alpha,mean_VaR,mean_ES,max_VaR,exceptions,exception_rate,kupiec_p,christoffersen_p
Normal (baseline),,2.3263478740408408,10823.17044618249,12426.796480032135,21308.611669213093,511,0.11970016397282736,0.0,0.0
Student-t ν=3.5,3.498968144294924,4.061495943176925,19034.45683266364,27719.879104265594,37246.35733501295,206,0.048254860623096744,0.0,0.0
