method,subperiod,start_date,end_date,observations,expected_exceptions,observed_exceptions,exception_rate,kupiec_pvalue,christoffersen_ind_pvalue,christoffersen_cc_pvalue,exception_severity,mean_var,mean_es
HistSim,Full Sample,2007-12-31,2024-12-30,4269,42.7,42,0.009838369641602248,0.9152472614600319,4.1254471951912564e-05,0.00022217297797888502,8452.571775541403,33057.4225315547,40358.107136657694
HistSim,GFC,2008-09-15,2009-06-30,200,2.0,7,0.035,0.005627042120909698,0.015232635153666019,0.0011389023559522649,11431.360719742786,33303.86302175811,39604.054327907084
HistSim,Euro Debt / Post-Crisis,2011-07-01,2012-01-31,147,1.5,4,0.027210884353741496,0.08365113062764284,0.07878662541117021,0.04778105556907175,6739.827699460671,29348.087902551277,37725.50184307235
HistSim,COVID,2020-02-20,2020-05-29,70,0.7,6,0.08571428571428572,7.836642573288977e-05,0.5097078632476568,0.0003301434785006885,18213.17907691968,40070.98512863173,58381.81135627822
HistSim,Inflation / Rates Shock,2022-01-03,2022-12-30,251,2.5,3,0.01195219123505976,0.7629803606411324,0.7871940425221351,0.9213547064008183,1993.3329587749515,42224.83158096856,48704.95011890681
