,Mean (daily),Std (daily),Ann. Volatility,Min,Max,Skewness,Excess Kurtosis,KS statistic,KS p-value,KS Normal?
EURUSD,-2.892876398092025e-05,0.007116510673896007,0.11297110467399309,-0.1433236378744118,0.159631874406008,0.5917345130871684,105.17673170471522,0.09184295653083466,9.655886149861885e-37,NO
EWG,0.00017726609986947156,0.01582729602272373,0.25125053521637214,-0.1356919776998085,0.1805667024067926,-0.25563378420530475,11.711601081402083,0.09452039180996782,6.808093386203568e-39,NO
EWJ,9.68265796441407e-05,0.012672673289181358,0.20117245181726878,-0.1099007273601839,0.1468841976233209,-0.0706067454061126,11.135159012562193,0.07560658413925825,5.025288300990659e-25,NO
GLD,0.00030556371749152975,0.010985047026287288,0.17438221543143465,-0.0919050745798384,0.1069739842380113,-0.32041761522497614,6.393271333703467,0.06968930448565572,2.532110748154671e-21,NO
IEF,0.0001174758722271135,0.004290338492061607,0.06810701214169726,-0.0253919822633027,0.0336892509599153,0.12756064617127047,2.8869605088888726,0.03992739684660884,2.762984476270496e-07,NO
SPY,0.0003831325619040947,0.012007395841248499,0.19061149973672836,-0.1158868308935123,0.1355770562336147,-0.3798754015612649,14.661660858265996,0.1176063525291583,4.8977305088063067e-60,NO
