"Family","logLik","AIC","BIC","KS_D","KS_p","KS_pass"
"JSU",-6594.63,13197.26,NA,0.0153,0.6181,TRUE
"SST",-6596.76,13201.53,NA,0.0172,0.4625,TRUE
"ST3",-6596.76,13201.53,NA,0.0172,0.4625,TRUE
"TF",-6601.23,13208.46,NA,0.0151,0.632,TRUE
"LO",-6613.46,13230.93,NA,0.0195,0.3108,TRUE
"NO",-6773.53,13551.06,NA,0.0496,0,FALSE
