"date","VaR_95","VaR_99","realised_pnl","exception_95","exception_99","cop_engine"
2009-06-05,18819.7567043666,33091.6618882936,-10030.3740359331,FALSE,FALSE,"vine"
2009-10-27,13849.3685160368,21043.5277516655,-7645.70298721851,FALSE,FALSE,"vine"
2010-10-25,13702.4487167907,21567.390386182,6893.51481162599,FALSE,FALSE,"vine"
2011-05-31,9732.27649972418,14860.7378930257,2024.16346764232,FALSE,FALSE,"vine"
2011-10-20,14266.4592443707,22588.6049555353,-6887.97280546875,FALSE,FALSE,"vine"
2012-01-03,17469.7937651245,26399.4243458195,27660.31167556,FALSE,FALSE,"vine"
2012-03-15,17302.0918023678,27108.0411742388,8493.85155810456,FALSE,FALSE,"vine"
2012-08-07,16208.4033499662,24163.3745522297,5367.66471841341,FALSE,FALSE,"vine"
2012-10-17,9431.09995346972,15152.3355798483,9809.54605937221,FALSE,FALSE,"vine"
2013-10-17,11349.4869843288,19548.8291407979,15223.0939913116,FALSE,FALSE,"vine"
2013-12-30,7424.07958532803,12314.4505666275,-8523.10488645501,TRUE,FALSE,"vine"
2014-03-13,6624.41652524724,10450.9969578773,-5428.68248726896,FALSE,FALSE,"vine"
2014-05-23,8306.50744928539,12990.1494852818,-1098.26786951613,FALSE,FALSE,"vine"
2015-10-13,8714.4280636858,13233.277206994,-7207.7419008078,FALSE,FALSE,"vine"
2016-12-20,7320.72689844915,11840.5512284766,511.794172195862,FALSE,FALSE,"vine"
2017-03-06,6780.78219939006,10072.5250405044,-3776.28183450812,FALSE,FALSE,"vine"
2017-05-16,NA,NA,2680.90729421857,NA,NA,"vine"
2017-07-27,4448.21618799469,7433.51087775687,2423.77127863539,FALSE,FALSE,"vine"
2017-10-06,5832.00683154321,8521.55456020004,2123.9339266137,FALSE,FALSE,"vine"
2017-12-18,5913.29681514745,8334.29755776741,9243.28957385813,FALSE,FALSE,"vine"
2018-03-02,4778.33710983917,7628.66637078149,7749.37294731288,FALSE,FALSE,"vine"
2018-05-14,8091.58039309768,12372.4405205317,350.636175936588,FALSE,FALSE,"vine"
2018-07-25,8558.22844891485,12676.4715334006,8023.66780439211,FALSE,FALSE,"vine"
2018-10-04,7022.1299652125,11118.8576964754,-4924.18496931173,FALSE,FALSE,"vine"
2018-12-17,4521.35942089548,6563.45956621642,-4495.00788878698,FALSE,FALSE,"vine"
2020-07-21,10563.2432563089,14872.0657261256,11763.6031034385,FALSE,FALSE,"vine"
2020-09-30,3621.54137707363,6297.12425870743,3383.21249874453,FALSE,FALSE,"vine"
2020-12-10,14661.6998980542,26691.1629334838,-4768.30833454995,FALSE,FALSE,"vine"
2021-02-24,6580.63403411556,9497.21549851767,9893.82979289144,FALSE,FALSE,"vine"
2021-05-06,5192.97340074763,8411.78216118684,19522.2417854363,FALSE,FALSE,"vine"
2021-07-19,NA,NA,-15411.4733419495,NA,NA,"vine"
2022-02-18,11313.2410160041,19162.1764759997,-13622.2650913078,TRUE,FALSE,"vine"
2023-02-17,7908.04058970322,12002.0843098248,-3434.19313265514,FALSE,FALSE,"vine"
2023-05-02,14893.3535669626,23056.9151278159,-298.368278749722,FALSE,FALSE,"vine"
2024-04-30,7014.26245059188,11118.6522853059,-41403.5982832782,TRUE,TRUE,"vine"
2024-07-12,13075.774243893,22954.0948499799,8583.0396958281,FALSE,FALSE,"vine"
2024-09-23,7703.22200550278,11310.8974623959,7847.15167286581,FALSE,FALSE,"vine"
