"Family","logLik","AIC","BIC","KS_D","KS_p","KS_pass"
"JSU",-6548.94,13105.87,NA,0.0222,0.1815,TRUE
"SST",-6555.89,13119.79,NA,0.0241,0.1186,TRUE
"ST3",-6555.89,13119.79,NA,0.0241,0.1186,TRUE
"TF",-6584.51,13175.02,NA,0.0216,0.2064,TRUE
"LO",-6600.65,13205.29,NA,0.0232,0.1434,TRUE
"NO",-6773.74,13551.47,NA,0.0617,0,FALSE
