forecast_date,exposure_date,portfolio_value_linear,mu_deltaV,sigma_deltaV,VaR_DN_full,VaR_DN_nodrift
2008-01-09,2008-01-08,1303645.651873651,711.7478841559192,7066.848089245959,15728.199144430995,16439.947028586914
2008-01-10,2008-01-09,1286253.1904362207,661.1139292192858,7051.105135489524,15742.209512365225,16403.32344158451
2008-01-11,2008-01-10,1298201.9115997981,672.6795553151214,7167.989010956426,16002.556441471468,16675.23599678659
2008-01-14,2008-01-11,1299015.2222170257,701.4752542633818,7150.56216434838,15933.219834965346,16634.695089228728
2008-01-15,2008-01-14,1307616.6495321912,741.9005665781131,7215.476230617001,16043.807222709967,16785.70778928808
2008-01-16,2008-01-15,1294452.3338484024,689.3748267061887,7116.667950634791,15866.470530507642,16555.84535721383
2008-01-17,2008-01-16,1282524.236461237,667.3753433462651,7043.0564968134,15717.224164765123,16384.599508111387
2008-01-18,2008-01-17,1276158.8712807393,636.6939673513436,6999.909855510019,15647.531443491916,16284.22541084326
2008-01-21,2008-01-18,1276803.8571981597,632.4377492966454,7036.697822157707,15737.369269547751,16369.807018844396
2008-01-22,2008-01-21,1272691.5574696185,623.0067483172611,7025.939115619929,15721.771776445546,16344.778524762807
2008-01-23,2008-01-22,1281465.481099037,646.8565023637233,7082.923205056586,15830.486837714205,16477.34334007793
2008-01-24,2008-01-23,1284879.1875778649,644.0887851700262,7090.606218769238,15851.127917524556,16495.216702694583
2008-01-25,2008-01-24,1297783.6413947826,693.1175483940286,7247.208570278604,16166.410701804165,16859.528250198193
2008-01-28,2008-01-25,1295468.1797755316,675.0998519107395,7232.600009714082,16150.443804475379,16825.54365638612
2008-01-29,2008-01-28,1308070.8709842027,717.2387528335086,7356.355307655648,16396.202777820265,17113.441530653774
2008-01-30,2008-01-29,1305112.318816077,693.9166392942317,7323.061829581262,16342.072679421766,17035.989318715998
2008-01-31,2008-01-30,1308447.2949664157,701.2253804871564,7371.0852176512335,16446.483044969656,17147.708425456814
2008-02-01,2008-01-31,1312576.9566622558,694.5984340650034,7353.364359524636,16411.88511076282,17106.483544827825
2008-02-04,2008-02-01,1307048.766216722,685.8462272240738,7252.50741964668,16186.008989936405,16871.85521716048
2008-02-05,2008-02-04,1301222.469368716,693.7579948640931,7212.877565894836,16085.904396272235,16779.662391136328
