,pnl_linear,pnl_irs,pnl_straddle,pnl_total
2006-01-04,4109.362995647501,-945.6435633274232,169.21624518755607,3332.9356775076335
2006-01-05,-4430.1006470969,0.0,-96.50762478878505,-4526.608271885685
2006-01-06,9221.01734253695,1891.1059341728833,249.57612655020256,11361.699403260036
2006-01-09,3190.1825909587005,0.0,155.50964063758954,3345.69223159629
2006-01-10,-3472.9840260944,4724.59578881276,-109.94034728641111,1141.6714154319484
2006-01-11,3878.8389216924497,2832.5864930285898,229.1276234034143,6940.553038124453
2006-01-12,-2493.3001709022,-3777.1436821423413,-363.54231985315266,-6633.986172897694
2006-01-13,7491.134705186151,-5671.144533871891,-166.36183751258926,1653.6283338016706
2006-01-17,-1354.592621531925,-1891.830912487727,-64.17523234323141,-3310.5987663628835
2006-01-18,-6357.898340390202,0.0,-229.95113277199408,-6587.849473162196
2006-01-19,6912.561413716775,3782.93684666061,15.646745124215045,10711.145005501601
2006-01-20,-5015.375905107651,-945.4623708454601,267.8294258680367,-5693.008850085074
2006-01-23,6836.904343518175,-945.6435633274232,-374.7184027741497,5516.542377416602
2006-01-24,-1133.7863528734,3781.4873066852597,-359.89804643082834,2287.8029073810317
2006-01-25,90.03273830167488,8497.760881259048,-286.986037670502,8300.807581890222
2006-01-26,-936.88471810935,3772.08557247126,-148.42072946633778,2686.780124895572
2006-01-27,-1123.651395660325,-942.7507210762124,286.8257114709607,-1779.5764052655766
2006-01-30,3776.369762050475,1885.3210804302944,-86.39216763904045,5575.29867484173
2006-01-31,-100.6049045987,-942.570359354082,-450.05124031227695,-1493.2265042650588
2006-02-01,-715.3288478735749,3769.199784522527,115.9554437203667,3169.826380369319
2006-02-02,-1333.5595390696749,0.0,-540.2866106909414,-1873.8461497606163
2006-02-03,-3786.9287164673997,-2826.629425168445,-293.3928579472109,-6906.950999583056
2006-02-06,-71.89631157804993,942.39004938578,-175.60393093566518,694.8898068720649
2006-02-07,-11420.699724231523,1884.2393757826649,110.81040468461367,-9425.649943764245
2006-02-08,2577.1331847284,-942.0295846312656,-588.6291608394885,1046.4744392576458
2006-02-09,6512.364333280801,-1884.5998405371793,-179.68850028167083,4448.075992461951
2006-02-10,-8353.64741294165,4710.148181627592,-318.51253083560493,-3962.0117621496624
2006-02-13,-5280.769089368975,-941.6693266539078,-217.69493974306897,-6440.133355765952
2006-02-14,5914.090935177301,3765.597204157384,-57.79376656156643,9621.894372773118
2006-02-15,-2669.377106301875,-941.1293270499154,191.70831016050192,-3418.798123191288
2006-02-16,5696.6082564855005,-1882.798550453561,-420.6497885406293,3393.1599174913104
2006-02-17,2910.5528849311504,-4710.148181627592,105.75922840803287,-1693.8360682884086
2006-02-21,-491.91874985562504,2826.629425168445,65.7511123116592,2400.4617876244793
2006-02-22,3359.7271687581497,-3769.199784522527,-262.9655159479114,-672.4381317122886
2006-02-23,-4027.592752738225,2827.1701998912613,-142.72394207928585,-1343.1464949262495
2006-02-24,3948.5437473107995,1883.8790144365048,-225.5656876523915,5606.857074094913
2006-02-27,-2871.7452567003,941.6693266539078,-38.94324512481262,-1969.019175171205
2006-02-28,4111.284988204575,-3767.758132241812,104.06197120956051,447.5888271723235
2006-03-01,1641.483125206125,3767.758132241812,-366.1694374400213,5043.071820007915
2006-03-02,4300.8799175749755,4705.646893227764,-43.30877640916242,8963.218034393576
2006-03-03,-3661.78261817975,3761.2809213809087,-96.99322245720055,2.5050807439581604
2006-03-06,-7272.947587474025,5636.534785372845,200.77372016575623,-1435.639081935423
2006-03-07,-4174.199708982175,0.0,-128.88106494730778,-4303.080773929483
2006-03-08,-3072.5909245275748,-938.9739669194096,-289.4456305014472,-4301.010521948431
2006-03-09,-673.2286070548249,938.9739669194096,196.97461834054764,462.7199782051323
2006-03-10,123.85821765135003,1877.4101480616082,-652.6766890337399,1348.5916766792184
2006-03-13,3644.554564363575,938.4362838024972,-299.5770579224484,4283.413790243624
2006-03-14,7687.302982544726,-5633.306375197222,-8.736714307964633,2045.2598930395388
2006-03-15,2872.1334509394496,1878.4859764137072,351.9092684349374,5102.5286957880935
2006-03-16,5234.192213476275,-7518.251948027872,191.99020507980435,-2092.0695294717916
2006-03-17,-952.177887137575,2820.6911295744358,-39.89072315917497,1828.6225192776858
2006-03-20,-287.00690676100004,-1880.2810797500715,-378.0642228949844,-2545.3522094060563
2006-03-21,-5286.114319440375,4699.3559217898,-696.7281265308927,-1283.4865241814675
2006-03-22,859.9527109817749,-939.512112272263,245.47908194100643,165.91968065051827
2006-03-23,-3610.617892932125,2817.9980886859703,-382.1527699625591,-1174.7725742087136
2006-03-24,7171.650328210225,-5637.611538844387,-96.95165273470963,1437.0871366311285
2006-03-27,1622.7335118180747,2819.6134501584165,-310.3235525878105,4132.02340938868
2006-03-28,-4229.3535550551,8449.153731121653,-732.3984389917441,3487.401737074809
2006-03-29,6196.4000288640245,1875.6191534913378,266.67444980268584,8338.693632158049
2006-03-30,8267.710650966075,4685.917678198661,-444.43304352839164,12509.195285636344
2006-03-31,-2990.2241497239497,0.0,-178.87525764233203,-3169.099407366282
2006-04-03,1611.725190898325,1873.1160635086708,-27.881484890315278,3456.959769516681
2006-04-04,3505.3755352254507,-936.468725181272,-91.09602482372736,2477.810785220451
2006-04-05,3425.35149659685,-2810.4780588615686,73.88109813241073,688.7545358676923
2006-04-06,144.10074150192526,5619.348599291028,-22.93994395406429,5740.509396838889
2006-04-07,-9071.5206152165,6547.78754254806,-83.55979408827352,-2607.292866756713
2006-04-10,5318.644680572175,0.0,-119.75521012989532,5198.88947044228
2006-04-11,-3409.8746843137246,-3740.523141758691,220.66573220062935,-6929.732093871787
2006-04-12,951.9658234028502,4675.208541989123,-240.31111680589845,5386.863248586074
2006-04-13,-1325.764374932575,6537.815185485757,-258.90673323789315,4953.144077315288
2006-04-17,10371.850889702526,-3734.8270949558355,-31.255076818823113,6605.768717927867
2006-04-18,10123.123383483924,-1868.4807425712643,-356.95841249329874,7897.684228419361
2006-04-19,7554.050429213026,4669.867735562846,-47.321189350078896,12176.596975425793
2006-04-20,-12458.938010980248,0.0,70.0191533024821,-12388.918857677765
2006-04-21,10232.590257946176,-2801.386992991582,-135.73446798363165,7295.468796970963
2006-04-24,-5386.0620977029,-1868.4807425712643,-194.19910356936043,-7448.7419438435245
2006-04-25,2735.0148511205,7469.65500247106,-337.3507031697045,9867.319150421856
2006-04-26,3774.85766565635,4662.760884640389,-134.58570002197234,8303.032850274765
2006-04-27,824.097444340975,-2797.1241001950693,121.75434029173005,-1851.2723155623644
2006-04-28,11656.121495338526,-1865.6367844453198,32.423823347208724,9822.908534240414
2006-05-01,-4241.05656818965,6526.623491256876,-414.66310211439605,1870.9038209528305
2006-05-02,8288.043989758175,-1863.862606616487,138.8749201294246,6563.0563032711125
2006-05-03,-1495.584917134225,2795.528023675637,-454.4623772999543,845.4807292414578
2006-05-04,6086.238545673999,931.4882269835798,67.16126130185529,7084.888033959434
2006-05-05,5203.802823351975,-3727.016250659217,840.5793630782696,2317.365935771028
2006-05-08,-2256.2903525213,0.0,-270.60143995125327,-2526.8917924725533
2006-05-09,9378.969623410276,932.0199489187507,156.35544932606217,10467.345021655088
2006-05-10,2638.288211671,0.0,-214.08081207418485,2424.2073995968153
2006-05-11,337.8831199361749,931.8426576977363,-1865.7075004547146,-595.9817228208035
2006-05-12,-2395.6434235955,4656.555689883418,-669.3180913435555,1591.5941749443632
2006-05-15,-15079.315020349175,-3724.8902728242683,-382.625424610211,-19186.830717783654
2006-05-16,6149.5283231378,-4660.099997602112,-247.3669746787408,1242.0613508569468
2006-05-17,-9312.07515567225,5591.588224585692,1461.695538702102,-2258.791392384456
2006-05-18,95.01855880422478,-7456.8699708660715,403.9408979128538,-6957.910514148993
2006-05-19,-7103.57875732285,-2799.2543293774943,-318.013116255365,-10220.846202955709
2006-05-22,-966.294515757575,-933.4401019642537,396.36713309240434,-1503.3674846294243
2006-05-23,732.9456265631751,2799.7872669082135,516.1691371602401,4048.902030631629
2006-05-24,-6708.920370048526,-3733.405116202164,-946.4544178489973,-11388.779904099689
