,VaR_GARCH_EVT,VaR_GARCH_EVT_raw,sigma_hat,mu_hat,q_EVT,xi,xi_raw,xi_clamped,ks_pvalue,fallback_type,threshold_u,N_u,f_u_hat,ES_GARCH_EVT,ES_GARCH_EVT_raw,ES_GARCH_EVT_mle_raw,e_EVT,e_EVT_raw,e_EVT_mle_raw,ES_fallback_type
2007-12-31,26363.355606637917,26363.355606637917,0.009173341397967253,0.0006789628631156081,2.9479245671316576,0.08172239303584106,0.08172239303584106,False,0.9759046684876472,none,1.1880568126811561,50,0.9,34739.39182408302,34739.39182408302,34739.39182408302,3.86100910787503,3.86100910787503,3.86100910787503,none
2008-01-02,26548.014595485158,26548.014595485158,0.009360500509212551,0.0006789628631156081,2.9087095750707057,0.15612093323264048,0.15612093323264048,False,0.8983777208190837,none,1.2301481930170084,50,0.9,36174.43740926219,36174.43740926219,36174.43740926219,3.9371185585756754,3.9371185585756754,3.9371185585756754,none
2008-01-03,25356.94755370807,25356.94755370807,0.008951017537112069,0.0006789628631156081,2.9087095750707057,0.15612093323264048,0.15612093323264048,False,0.8983777208190837,none,1.2301481930170084,50,0.9,34562.254400384656,34562.254400384656,34562.254400384656,3.9371185585756754,3.9371185585756754,3.9371185585756754,none
2008-01-04,24316.246602847237,24316.246602847237,0.008593229685144917,0.0006789628631156081,2.9087095750707057,0.15612093323264048,0.15612093323264048,False,0.8983777208190837,none,1.2301481930170084,50,0.9,33153.60120837186,33153.60120837186,33153.60120837186,3.9371185585756754,3.9371185585756754,3.9371185585756754,none
2008-01-07,24366.189626188116,24366.189626188116,0.00861039985014486,0.0006789628631156081,2.9087095750707057,0.15612093323264048,0.15612093323264048,False,0.8983777208190837,none,1.2301481930170084,50,0.9,33221.202183646936,33221.202183646936,33221.202183646936,3.9371185585756754,3.9371185585756754,3.9371185585756754,none
2008-01-08,23647.62091901983,23647.62091901983,0.008363359474121475,0.0006789628631156081,2.9087095750707057,0.15612093323264048,0.15612093323264048,False,0.8983777208190837,none,1.2301481930170084,50,0.9,32248.57493448776,32248.57493448776,32248.57493448776,3.9371185585756754,3.9371185585756754,3.9371185585756754,none
2008-01-09,30526.340903939876,30526.340903939876,0.010728229464537359,0.0006789628631156081,2.9087095750707057,0.15612093323264048,0.15612093323264048,False,0.8983777208190837,none,1.2301481930170084,50,0.9,41559.34846237281,41559.34846237281,41559.34846237281,3.9371185585756754,3.9371185585756754,3.9371185585756754,none
2008-01-10,34707.74088016762,34707.74088016762,0.012099155094025907,0.0006789628631156081,2.924725195130014,0.15124220182153122,0.15124220182153122,False,0.8143513767864511,none,1.2498662453208484,50,0.9,46986.72832968274,46986.72832968274,46986.72832968274,3.93958841112251,3.93958841112251,3.93958841112251,none
2008-01-11,35704.60378948935,35704.60378948935,0.012439994948307472,0.0006789628631156081,2.924725195130014,0.15124220182153122,0.15124220182153122,False,0.8143513767864511,none,1.2498662453208484,50,0.9,48329.497069659075,48329.497069659075,48329.497069659075,3.93958841112251,3.93958841112251,3.93958841112251,none
2008-01-14,34224.41338309227,34224.41338309227,0.011933899398249724,0.0006789628631156081,2.924725195130014,0.15124220182153122,0.15124220182153122,False,0.8143513767864511,none,1.2498662453208484,50,0.9,46335.68890573091,46335.68890573091,46335.68890573091,3.93958841112251,3.93958841112251,3.93958841112251,none
2008-01-15,33894.604411194974,33894.604411194974,0.011761537554908446,0.0006789628631156081,2.9395448607722194,0.11981341182317057,0.11981341182317057,False,0.8373685701363492,none,1.2301481930170084,50,0.9,45245.93671455066,45245.93671455066,45245.93671455066,3.904668021784313,3.904668021784313,3.904668021784313,none
2008-01-16,36334.01059138623,36334.01059138623,0.01259681340010918,0.0006789628631156081,2.9382806809046667,0.12600707114249649,0.12600707114249649,False,0.7789368459933479,none,1.2498662453208484,50,0.9,48509.80809926321,48509.80809926321,48509.80809926321,3.9048582685167412,3.9048582685167412,3.9048582685167412,none
2008-01-17,35548.39168843378,35548.39168843378,0.012329439725409539,0.0006789628631156081,2.9382806809046667,0.12600707114249649,0.12600707114249649,False,0.7789368459933479,none,1.2498662453208484,50,0.9,47465.75179482861,47465.75179482861,47465.75179482861,3.9048582685167412,3.9048582685167412,3.9048582685167412,none
2008-01-18,34771.33979494037,34771.33979494037,0.012064981704586914,0.0006789628631156081,2.9382806809046667,0.12600707114249649,0.12600707114249649,False,0.7789368459933479,none,1.2498662453208484,50,0.9,46433.08070554381,46433.08070554381,46433.08070554381,3.9048582685167412,3.9048582685167412,3.9048582685167412,none
2008-01-22,33068.32877277372,33068.32877277372,0.011485387306667679,0.0006789628631156081,2.9382806809046667,0.12600707114249649,0.12600707114249649,False,0.7789368459933479,none,1.2498662453208484,50,0.9,44169.8467284429,44169.8467284429,44169.8467284429,3.9048582685167412,3.9048582685167412,3.9048582685167412,none
2008-01-23,31469.59571226101,31469.59571226101,0.010941282357503846,0.0006789628631156081,2.9382806809046667,0.12600707114249649,0.12600707114249649,False,0.7789368459933479,none,1.2498662453208484,50,0.9,42045.194018759634,42045.194018759634,42045.194018759634,3.9048582685167412,3.9048582685167412,3.9048582685167412,none
2008-01-24,29966.93301797285,29966.93301797285,0.010429873524422078,0.0006789628631156081,2.9382806809046667,0.12600707114249649,0.12600707114249649,False,0.7789368459933479,none,1.2498662453208484,50,0.9,40048.21500830779,40048.21500830779,40048.21500830779,3.9048582685167412,3.9048582685167412,3.9048582685167412,none
2008-01-25,34728.1232558702,34728.1232558702,0.012050273600166857,0.0006789628631156081,2.9382806809046667,0.12600707114249649,0.12600707114249649,False,0.7789368459933479,none,1.2498662453208484,50,0.9,46375.64764238495,46375.64764238495,46375.64764238495,3.9048582685167412,3.9048582685167412,3.9048582685167412,none
2008-01-28,33530.447996662704,33530.447996662704,0.011642662691178154,0.0006789628631156081,2.9382806809046667,0.12600707114249649,0.12600707114249649,False,0.7789368459933479,none,1.2498662453208484,50,0.9,44783.98481408279,44783.98481408279,44783.98481408279,3.9048582685167412,3.9048582685167412,3.9048582685167412,none
2008-01-29,32881.255363001015,32881.255363001015,0.01142171966218822,0.0006789628631156081,2.9382806809046667,0.12600707114249649,0.12600707114249649,False,0.7789368459933479,none,1.2498662453208484,50,0.9,43921.233600460306,43921.233600460306,43921.233600460306,3.9048582685167412,3.9048582685167412,3.9048582685167412,none
2008-01-30,31325.005574004146,31325.005574004146,0.010892073260770328,0.0006789628631156081,2.9382806809046667,0.12600707114249649,0.12600707114249649,False,0.7789368459933479,none,1.2498662453208484,50,0.9,41853.03947049352,41853.03947049352,41853.03947049352,3.9048582685167412,3.9048582685167412,3.9048582685167412,none
2008-01-31,30924.05845093862,30924.05845093862,0.010755616888283111,0.0006789628631156081,2.9382806809046667,0.12600707114249649,0.12600707114249649,False,0.7789368459933479,none,1.2498662453208484,50,0.9,41320.196676095,41320.196676095,41320.196676095,3.9048582685167412,3.9048582685167412,3.9048582685167412,none
2008-02-01,30163.462938599583,30163.462938599583,0.010445697749346223,0.0006789628631156081,2.9526439058267373,0.09998453620352502,0.09998453620352502,False,0.8036897262394368,none,1.2301481930170084,50,0.9,39883.40155652027,39883.40155652027,39883.40155652027,3.883164666733211,3.883164666733211,3.883164666733211,none
2008-02-04,30310.88406825049,30310.88406825049,0.010495626265737917,0.0006789628631156081,2.9526439058267373,0.09998453620352502,0.09998453620352502,False,0.8036897262394368,none,1.2301481930170084,50,0.9,40077.28220723491,40077.28220723491,40077.28220723491,3.883164666733211,3.883164666733211,3.883164666733211,none
2008-02-05,28943.620140675546,28943.620140675546,0.010007261556145865,0.0006789628631156081,2.960108800753661,0.06994379087364949,0.06994379087364949,False,0.9811527222962135,none,1.1880568126811561,50,0.9,37909.015894819044,37909.015894819044,37909.015894819044,3.855997821325676,3.855997821325676,3.855997821325676,none
2008-02-06,31821.104643301653,31821.104643301653,0.011031183278901313,0.0006789628631156081,2.9461995766653786,0.10344099072098917,0.10344099072098917,False,0.8123673048901545,none,1.2301481930170084,50,0.9,42126.20505114061,42126.20505114061,42126.20505114061,3.8803786350034732,3.8803786350034732,3.8803786350034732,none
2008-02-07,30377.252578794316,30377.252578794316,0.010541110550650658,0.0006789628631156081,2.9461995766653786,0.10344099072098917,0.10344099072098917,False,0.8123673048901545,none,1.2301481930170084,50,0.9,40224.53730683891,40224.53730683891,40224.53730683891,3.8803786350034732,3.8803786350034732,3.8803786350034732,none
2008-02-08,29680.030521754827,29680.030521754827,0.01030445921767184,0.0006789628631156081,2.9461995766653786,0.10344099072098917,0.10344099072098917,False,0.8123673048901545,none,1.2301481930170084,50,0.9,39306.240530402814,39306.240530402814,39306.240530402814,3.8803786350034732,3.8803786350034732,3.8803786350034732,none
2008-02-11,33360.00759496462,33360.00759496462,0.011391044718367866,0.0006789628631156081,2.9882220024290627,0.0417148303912984,0.0417148303912984,False,0.990048068131898,none,1.1880568126811561,50,0.9,43106.67033996259,43106.67033996259,43106.67033996259,3.8438645695486215,3.8438645695486215,3.8438645695486215,none
2008-02-12,36250.2008094138,36250.2008094138,0.012430732414131493,0.0006789628631156081,2.9707954802846235,0.07114826431955919,0.07114826431955919,False,0.9398116129870769,none,1.2301481930170084,50,0.9,47218.3661770407,47218.3661770407,47218.3661770407,3.8531381293113274,3.8531381293113274,3.8531381293113274,none
2008-02-13,34702.13856185181,34702.13856185181,0.011909638903038068,0.0006789628631156081,2.9707954802846235,0.07114826431955919,0.07114826431955919,False,0.9398116129870769,none,1.2301481930170084,50,0.9,45210.52090050991,45210.52090050991,45210.52090050991,3.8531381293113274,3.8531381293113274,3.8531381293113274,none
2008-02-14,33062.635506413826,33062.635506413826,0.011357765485188076,0.0006789628631156081,2.9707954802846235,0.07114826431955919,0.07114826431955919,False,0.9398116129870769,none,1.2301481930170084,50,0.9,43084.076391638744,43084.076391638744,43084.076391638744,3.8531381293113274,3.8531381293113274,3.8531381293113274,none
2008-02-15,32724.205346859126,32724.205346859126,0.011243846448418074,0.0006789628631156081,2.9707954802846235,0.07114826431955919,0.07114826431955919,False,0.9398116129870769,none,1.2301481930170084,50,0.9,42645.13060740582,42645.13060740582,42645.13060740582,3.8531381293113274,3.8531381293113274,3.8531381293113274,none
2008-02-19,32087.379003023885,32087.379003023885,0.01102948421848287,0.0006789628631156081,2.9707954802846235,0.07114826431955919,0.07114826431955919,False,0.9398116129870769,none,1.2301481930170084,50,0.9,41819.16332575829,41819.16332575829,41819.16332575829,3.8531381293113274,3.8531381293113274,3.8531381293113274,none
2008-02-20,34926.25785970144,34926.25785970144,0.011985079740125972,0.0006789628631156081,2.9707954802846235,0.07114826431955919,0.07114826431955919,False,0.9398116129870769,none,1.2301481930170084,50,0.9,45501.20486640047,45501.20486640047,45501.20486640047,3.8531381293113274,3.8531381293113274,3.8531381293113274,none
2008-02-21,34173.1511003615,34173.1511003615,0.011731576338650558,0.0006789628631156081,2.9707954802846235,0.07114826431955919,0.07114826431955919,False,0.9398116129870769,none,1.2301481930170084,50,0.9,44524.42124426544,44524.42124426544,44524.42124426544,3.8531381293113274,3.8531381293113274,3.8531381293113274,none
2008-02-22,33414.503181151806,33414.503181151806,0.011476207726356515,0.0006789628631156081,2.9707954802846235,0.07114826431955919,0.07114826431955919,False,0.9398116129870769,none,1.2301481930170084,50,0.9,43540.45070720594,43540.45070720594,43540.45070720594,3.8531381293113274,3.8531381293113274,3.8531381293113274,none
2008-02-25,31811.217817490677,31811.217817490677,0.010936525552238112,0.0006789628631156081,2.9707954802846235,0.07114826431955919,0.07114826431955919,False,0.9398116129870769,none,1.2301481930170084,50,0.9,41460.98074440069,41460.98074440069,41460.98074440069,3.8531381293113274,3.8531381293113274,3.8531381293113274,none
2008-02-26,30559.23033932372,30559.23033932372,0.010515093822428491,0.0006789628631156081,2.9707954802846235,0.07114826431955919,0.07114826431955919,False,0.9398116129870769,none,1.2301481930170084,50,0.9,39837.14607736961,39837.14607736961,39837.14607736961,3.8531381293113274,3.8531381293113274,3.8531381293113274,none
2008-02-27,29520.84608263107,29520.84608263107,0.010165563111350001,0.0006789628631156081,2.9707954802846235,0.07114826431955919,0.07114826431955919,False,0.9398116129870769,none,1.2301481930170084,50,0.9,38490.35596714778,38490.35596714778,38490.35596714778,3.8531381293113274,3.8531381293113274,3.8531381293113274,none
2008-02-28,30043.800568703013,30043.800568703013,0.010341594914798767,0.0006789628631156081,2.9707954802846235,0.07114826431955919,0.07114826431955919,False,0.9398116129870769,none,1.2301481930170084,50,0.9,39168.63082098766,39168.63082098766,39168.63082098766,3.8531381293113274,3.8531381293113274,3.8531381293113274,none
2008-02-29,28760.549791570123,28760.549791570123,0.009909639640311158,0.0006789628631156081,2.9707954802846235,0.07114826431955919,0.07114826431955919,False,0.9398116129870769,none,1.2301481930170084,50,0.9,37504.2474827023,37504.2474827023,37504.2474827023,3.8531381293113274,3.8531381293113274,3.8531381293113274,none
2008-03-03,30095.407958953823,30095.407958953823,0.01039028932716212,0.0006789628631156081,2.961839642099242,0.08373765033952943,0.08373765033952943,False,0.9195704568221894,none,1.2498662453208484,50,0.9,39365.52928588926,39365.52928588926,39365.52928588926,3.85403051716002,3.85403051716002,3.85403051716002,none
