,VaR_COPULA,mean_correlation,cvm_pvalue
2007-12-31,15042.6014750083,0.10401726473299107,0.286
2008-01-02,15511.762510066037,0.10401726473299107,0.286
2008-01-03,15597.880138445267,0.10401726473299107,0.286
2008-01-04,15403.23082211475,0.10401726473299107,0.286
2008-01-07,15360.913599954158,0.10401726473299107,0.286
2008-01-08,15504.57122825675,0.10401726473299107,0.286
2008-01-09,15813.420061042414,0.10401726473299107,0.286
2008-01-10,15614.330027166367,0.10401726473299107,0.286
2008-01-11,15786.972688841439,0.10401726473299107,0.286
2008-01-14,15867.88944060786,0.10401726473299107,0.286
2008-01-15,15430.45187664598,0.10401726473299107,0.286
2008-01-16,15758.236946016767,0.10401726473299107,0.286
2008-01-17,15833.48214899289,0.10401726473299107,0.286
2008-01-18,15670.756828463456,0.10401726473299107,0.286
2008-01-22,15713.354190531676,0.10401726473299107,0.286
2008-01-23,15604.869676911878,0.10401726473299107,0.286
2008-01-24,15559.710738121363,0.10401726473299107,0.286
2008-01-25,15757.70539035374,0.10401726473299107,0.286
2008-01-28,15414.937711496359,0.10401726473299107,0.286
2008-01-29,16130.291192086657,0.10401726473299107,0.286
2008-01-30,15862.525405290055,0.10401726473299107,0.286
2008-01-31,15970.188910773702,0.10401726473299107,0.286
2008-02-01,16133.597773925252,0.10401726473299107,0.286
2008-02-04,15794.733008220319,0.10401726473299107,0.286
2008-02-05,15937.164479326968,0.10401726473299107,0.286
2008-02-06,15944.259770618452,0.10401726473299107,0.286
2008-02-07,16273.998036745917,0.10401726473299107,0.286
2008-02-08,15944.06642197527,0.10401726473299107,0.286
2008-02-11,15939.585217864433,0.10401726473299107,0.286
2008-02-12,15837.373073720966,0.10401726473299107,0.286
2008-02-13,15979.964656501756,0.10401726473299107,0.286
2008-02-14,16142.787990116565,0.10401726473299107,0.286
2008-02-15,15947.730094434886,0.10401726473299107,0.286
2008-02-19,16117.136063945141,0.10401726473299107,0.286
2008-02-20,15757.915004647084,0.10401726473299107,0.286
2008-02-21,16326.77237799768,0.10401726473299107,0.286
2008-02-22,16065.374806662338,0.10401726473299107,0.286
2008-02-25,16074.095449542305,0.10401726473299107,0.286
2008-02-26,16553.350586107746,0.10401726473299107,0.286
2008-02-27,15921.645678197083,0.10401726473299107,0.286
2008-02-28,16107.685723745346,0.10401726473299107,0.286
2008-02-29,16557.7715556565,0.10401726473299107,0.286
2008-03-03,16312.524506920305,0.10401726473299107,0.286
2008-03-04,16500.285828963097,0.10401726473299107,0.286
2008-03-05,16583.134183078473,0.10401726473299107,0.286
2008-03-06,16738.83461761912,0.10401726473299107,0.286
2008-03-07,16552.6327489676,0.10401726473299107,0.286
2008-03-10,16798.62182945219,0.10401726473299107,0.286
2008-03-11,16575.408236635558,0.10401726473299107,0.286
2008-03-12,16726.753314625905,0.10401726473299107,0.286
2008-03-13,16839.048501167345,0.10401726473299107,0.286
2008-03-14,16650.183309668144,0.10401726473299107,0.286
2008-03-17,16732.216218702873,0.10401726473299107,0.286
2008-03-18,16723.290772798653,0.10401726473299107,0.286
2008-03-19,16761.722238883296,0.10401726473299107,0.286
2008-03-20,16471.154513914644,0.10401726473299107,0.286
2008-03-24,16848.98264374866,0.10401726473299107,0.286
2008-03-25,16760.664553528095,0.10401726473299107,0.286
2008-03-26,16842.467771462092,0.10401726473299107,0.286
2008-03-27,16674.032369006796,0.10401726473299107,0.286
2008-03-28,16279.94380418704,0.10401726473299107,0.286
2008-03-31,16563.76710328941,0.10401726473299107,0.286
2008-04-01,16816.349157363573,0.10401726473299107,0.286
2008-04-02,17088.122877700687,0.10401726473299107,0.286
2008-04-03,16942.00194579651,0.10401726473299107,0.286
2008-04-04,16523.955366483133,0.10401726473299107,0.286
2008-04-07,17247.80218871023,0.10401726473299107,0.286
2008-04-08,16669.112157068783,0.10401726473299107,0.286
2008-04-09,16811.62845307143,0.10401726473299107,0.286
2008-04-10,16445.909706334547,0.10401726473299107,0.286
2008-04-11,17355.47209339894,0.10401726473299107,0.286
2008-04-14,17070.803591351592,0.10401726473299107,0.286
2008-04-15,17051.923298058267,0.10401726473299107,0.286
2008-04-16,16551.398581389825,0.10401726473299107,0.286
2008-04-17,16828.04001233002,0.10401726473299107,0.286
2008-04-18,16776.70980807384,0.10401726473299107,0.286
2008-04-21,16839.20149008421,0.10401726473299107,0.286
2008-04-22,16656.37903584852,0.10401726473299107,0.286
2008-04-23,16468.433136886273,0.10401726473299107,0.286
2008-04-24,16620.858492391948,0.10401726473299107,0.286
2008-04-25,16640.650091964497,0.10401726473299107,0.286
2008-04-28,16683.124094468563,0.10401726473299107,0.286
2008-04-29,16714.10380380725,0.10401726473299107,0.286
2008-04-30,16873.5910613958,0.10401726473299107,0.286
2008-05-01,16759.74108463541,0.10401726473299107,0.286
2008-05-02,16873.16568171393,0.10401726473299107,0.286
2008-05-05,16649.28847682694,0.10401726473299107,0.286
2008-05-06,16776.608703779675,0.10401726473299107,0.286
2008-05-07,17009.82972401596,0.10401726473299107,0.286
2008-05-08,16894.64927713532,0.10401726473299107,0.286
2008-05-09,16932.382588563418,0.10401726473299107,0.286
2008-05-12,16957.540502961492,0.10401726473299107,0.286
2008-05-13,17033.714694678038,0.10401726473299107,0.286
2008-05-14,17015.136355136223,0.10401726473299107,0.286
2008-05-15,16720.934346468104,0.10401726473299107,0.286
2008-05-16,16937.050188640787,0.10401726473299107,0.286
2008-05-19,17259.731966027903,0.10401726473299107,0.286
2008-05-20,16863.65556130067,0.10401726473299107,0.286
2008-05-21,16838.05601501413,0.10401726473299107,0.286
2008-05-22,16824.50718514973,0.10401726473299107,0.286
2008-05-23,16886.980304357665,0.10401726473299107,0.286
2008-05-27,16760.6553717037,0.10401726473299107,0.286
2008-05-28,16527.993130746698,0.10401726473299107,0.286
2008-05-29,16936.569253033147,0.10401726473299107,0.286
2008-05-30,16829.77910133563,0.10401726473299107,0.286
2008-06-02,16237.862569699451,0.10401726473299107,0.286
2008-06-03,16670.209057302924,0.10401726473299107,0.286
2008-06-04,16791.615767700234,0.10401726473299107,0.286
2008-06-05,16624.726460073885,0.10401726473299107,0.286
2008-06-06,17131.298126418737,0.10401726473299107,0.286
2008-06-09,16805.163316886432,0.10401726473299107,0.286
2008-06-10,16897.335213204595,0.10401726473299107,0.286
2008-06-11,16638.93478879624,0.10401726473299107,0.286
2008-06-12,16840.497337408975,0.10401726473299107,0.286
2008-06-13,16631.738868773402,0.10401726473299107,0.286
2008-06-16,16856.987930950443,0.10401726473299107,0.286
2008-06-17,17164.99122797454,0.10401726473299107,0.286
2008-06-18,17220.215017287614,0.10401726473299107,0.286
2008-06-19,16748.210096776973,0.10401726473299107,0.286
2008-06-20,16656.748099602646,0.10401726473299107,0.286
2008-06-23,16782.885463563664,0.10401726473299107,0.286
2008-06-24,16740.24243632396,0.10401726473299107,0.286
2008-06-25,16993.816132668322,0.10401726473299107,0.286
2008-06-26,17040.147542713294,0.10401726473299107,0.286
2008-06-27,16894.658974231286,0.10401726473299107,0.286
2008-06-30,16875.080660301126,0.10401726473299107,0.286
2008-07-01,16982.722755125884,0.10401726473299107,0.286
2008-07-02,17148.421500960692,0.10401726473299107,0.286
2008-07-03,16838.622100341454,0.10401726473299107,0.286
2008-07-07,16861.379787433954,0.10401726473299107,0.286
2008-07-08,16641.327407164226,0.10401726473299107,0.286
2008-07-09,16874.299834488622,0.10401726473299107,0.286
2008-07-10,16839.82153389976,0.10401726473299107,0.286
2008-07-11,16790.854060860085,0.10401726473299107,0.286
2008-07-14,17040.951445360257,0.10401726473299107,0.286
2008-07-15,17110.38606238545,0.10401726473299107,0.286
2008-07-16,17153.039629550913,0.10401726473299107,0.286
2008-07-17,16988.80242206152,0.10401726473299107,0.286
2008-07-18,16644.77636642975,0.10401726473299107,0.286
2008-07-21,16538.39505274538,0.10401726473299107,0.286
2008-07-22,16415.38110046133,0.10401726473299107,0.286
2008-07-23,16773.178118660933,0.10401726473299107,0.286
2008-07-24,16888.219427395845,0.10401726473299107,0.286
2008-07-25,16960.592428467928,0.10401726473299107,0.286
2008-07-28,17278.295204751168,0.10401726473299107,0.286
2008-07-29,16586.589257990432,0.10401726473299107,0.286
2008-07-30,17122.156506821964,0.10401726473299107,0.286
2008-07-31,16840.750339259917,0.10401726473299107,0.286
2008-08-01,16699.81064252351,0.10401726473299107,0.286
2008-08-04,16966.841618975042,0.10401726473299107,0.286
2008-08-05,16740.090259529818,0.10401726473299107,0.286
2008-08-08,17160.046024474184,0.10401726473299107,0.286
2008-08-11,16851.00686081265,0.10401726473299107,0.286
2008-08-12,17143.646613197954,0.10401726473299107,0.286
2008-08-13,17026.77637281168,0.10401726473299107,0.286
2008-08-26,16592.343190275664,0.10401726473299107,0.286
2008-08-27,17087.753517291392,0.10401726473299107,0.286
2008-08-28,17391.523887878353,0.10401726473299107,0.286
2008-08-29,17138.01134943828,0.10401726473299107,0.286
2008-09-02,17494.067352055627,0.10401726473299107,0.286
2008-09-03,17177.774393386204,0.10401726473299107,0.286
2008-09-04,17087.192009559858,0.10401726473299107,0.286
2008-09-05,16946.50903341544,0.10401726473299107,0.286
2008-09-08,16910.99429136294,0.10401726473299107,0.286
2008-09-09,17074.886597120705,0.10401726473299107,0.286
2008-09-10,17048.7539071583,0.10401726473299107,0.286
2008-09-11,17400.203677843074,0.10401726473299107,0.286
2008-09-12,17047.549705156285,0.10401726473299107,0.286
2008-09-15,16800.08746882888,0.10401726473299107,0.286
2008-09-16,17346.310798506758,0.10401726473299107,0.286
2008-09-17,17551.782871609408,0.10401726473299107,0.286
2008-09-18,17484.26786319534,0.10401726473299107,0.286
2008-09-19,17732.620208604214,0.10401726473299107,0.286
2008-09-22,17547.35863042224,0.10401726473299107,0.286
2008-09-23,17502.756867520067,0.10401726473299107,0.286
2008-09-24,17651.808840471578,0.10401726473299107,0.286
2008-09-25,18022.976162207786,0.10401726473299107,0.286
2008-09-26,18156.968171442288,0.10401726473299107,0.286
2008-09-29,17921.393676070926,0.10401726473299107,0.286
2008-09-30,17440.645039527306,0.10401726473299107,0.286
2008-10-01,17416.765553475816,0.10401726473299107,0.286
2008-10-02,18126.65806335832,0.10401726473299107,0.286
2008-10-03,18118.937320903075,0.10401726473299107,0.286
2008-10-06,17501.53044536045,0.10401726473299107,0.286
2008-10-07,17981.368249275376,0.10401726473299107,0.286
2008-10-08,18050.723608513883,0.10401726473299107,0.286
2008-10-09,17840.092552028913,0.10401726473299107,0.286
2008-10-10,18025.285868674164,0.10401726473299107,0.286
