,VaR_MC,mean_pnl_sim,std_pnl_sim
2007-12-31,16786.011186437692,351.1777903688679,7590.09529142704
2008-01-02,16963.434351527656,471.36155158919394,7571.013090165139
2008-01-03,17378.03893907672,415.2114963048534,7620.068684014223
2008-01-04,17199.12153120445,511.29637811576913,7525.565004208046
2008-01-07,16822.105982524346,276.6077998229136,7498.937626576023
2008-01-08,16674.568896936118,327.80664199132485,7443.17495873522
2008-01-09,16934.557495596804,499.4967707205143,7505.051315549593
2008-01-10,17488.665470615357,262.4555577628374,7630.906700829506
2008-01-11,17413.63428538141,382.60327046125633,7578.787179453366
2008-01-14,17442.552431359156,460.3707610816434,7764.656761987578
2008-01-15,16745.753672983028,472.0156389225686,7623.3203798953555
2008-01-16,16931.89725426634,291.6797560160889,7491.877453149178
2008-01-17,16196.968806917917,359.14071031299846,7242.092723384168
2008-01-18,16338.379212273814,292.3371958178356,7126.2370696144535
2008-01-22,15655.598323604781,174.73518296071225,6938.338606073691
2008-01-23,16359.816183906363,192.6217452827542,7331.076492926843
2008-01-24,17088.233533646966,248.91748067686046,7480.9673720823475
2008-01-25,16998.64050618533,286.3041774987073,7489.233842472737
2008-01-28,17603.769498421745,241.82989047556597,7767.546794134232
2008-01-29,17481.49010022416,324.2081389277616,7745.666499892513
2008-01-30,17796.92023742436,260.16268910941363,7761.067172170311
2008-01-31,18097.29106557377,332.96757290615034,7930.345943181824
2008-02-01,18055.1023559203,307.26643380388236,7874.9486516627485
2008-02-04,17800.175171603634,457.14287630783645,7970.922134489048
2008-02-05,17992.68358223598,244.5651015382249,7809.412985330458
2008-02-06,17982.242076601637,200.15750302146716,7856.71750891129
2008-02-07,18268.652400381936,165.066620323518,7974.794062292749
2008-02-08,17415.24439080515,303.9168691255023,7861.16278911728
2008-02-11,18096.45631089483,313.72020903282436,7922.13825071561
2008-02-12,18275.917816472167,362.40029246864833,8061.531951319731
2008-02-13,14673.14487617059,221.2806183728464,6503.241695396309
2008-02-14,15250.747626588854,148.09319040061683,6493.6733302612165
2008-02-15,14546.698401665406,209.03510101407917,6463.014730033921
2008-02-19,14871.716339273242,235.330757268197,6448.019001989733
2008-02-20,15049.219893721933,242.75246779021788,6608.69383226837
2008-02-21,14433.806248123356,368.2341773257988,6492.632670192811
