,VaR_MC_GARCH_COPULA_V2
2009-01-12,35005.12619125592
2009-01-13,37624.41420496495
2009-01-14,35372.72363142923
2009-01-15,35964.748991161956
2009-01-16,33796.03725040827
2009-01-20,36509.30906077047
2009-01-21,36156.186863998504
2009-01-22,35126.97528607792
2009-01-23,34645.57468839058
2009-01-26,36647.272116197004
2009-01-27,35011.290623856476
2009-01-28,35778.552464125845
2009-01-29,35526.40482147972
2009-01-30,33304.987161129495
2009-02-02,33363.76277705003
2009-02-03,34365.49466939874
2009-02-04,34821.51722565014
2009-02-05,34038.3236069784
2009-02-06,32117.453746339535
2009-02-09,32367.4076477582
2009-02-10,31757.349106224436
2009-02-11,31810.697751576357
2009-02-12,30348.930841172754
2009-02-13,29262.470287470573
2009-02-17,28206.880420618385
2009-02-18,27930.859618532737
2009-02-19,28187.61667179781
2009-02-20,27277.000339607235
2009-02-23,26862.054537872886
2009-02-24,26479.689528020255
2009-02-25,24261.12067558566
2009-02-26,26101.23673983616
2009-02-27,24535.436562824365
2009-03-02,24258.72667069731
2009-03-03,26001.92868816144
2009-03-04,26279.88316426253
2009-03-05,25693.689816523463
2009-03-06,23552.893110378132
2009-03-09,23354.721895517912
2009-03-10,22310.708141636875
2009-03-11,22202.16278627084
2009-03-12,21482.23929720783
2009-03-13,24783.07264274987
2009-03-16,23264.240464973947
2009-03-17,22592.143120885437
2009-03-18,23393.334955027003
2009-03-19,23526.029355397273
2009-03-20,22707.53034845678
2009-03-23,22090.308301660803
2009-03-24,24743.748906705845
2009-03-25,24669.598455244453
2009-03-26,26343.553266886614
2009-03-27,26288.097352772962
2009-03-30,25079.986317574476
2009-03-31,24090.566563675602
2009-04-01,23871.62425823426
2009-04-02,25785.50839182667
2009-04-03,26210.560314741437
2009-04-06,25717.463267050334
2009-04-07,25233.882499995063
2009-04-08,25417.285452931734
2009-04-09,19291.8688844963
2009-04-13,20340.63215036583
2009-04-14,20744.920531550797
2009-04-15,20437.203813983157
2009-04-16,21352.675809424905
2009-04-17,20836.742999837275
2009-04-20,19575.338468304322
2009-04-21,18401.46560776889
2009-04-22,18974.5137001364
2009-04-23,17991.389389953885
2009-04-24,18009.683664649587
2009-04-27,20591.737338463692
2009-04-28,22317.008490458935
2009-04-29,20914.906527666855
2009-04-30,22646.339942806353
2009-05-01,21894.935459174685
2009-05-04,21551.66732133459
2009-05-05,26079.8969663596
2009-05-06,24930.02830166693
2009-05-07,25732.277865122156
2009-05-08,25462.83075564761
2009-05-11,27126.741028989494
2009-05-12,27208.509210018532
2009-05-13,27009.48677737344
2009-05-14,25292.431823981107
