,VaR_MC,mean_pnl_sim,std_pnl_sim
2009-01-12,23690.124640293012,548.21523081368,10938.539396344388
2009-01-13,22711.603052097777,131.63393088058982,10232.529508385249
2009-01-14,23360.030241184457,61.81463340290843,10217.674952020276
2009-01-15,23371.234969788602,49.970005253118984,9999.065255010533
2009-01-16,23501.4123686214,-172.7129802972808,9963.464740627958
2009-01-20,23645.675407456147,-123.26419453875017,10269.42194627996
2009-01-21,23091.12264832033,39.14208024978466,9860.421416297146
2009-01-22,23351.606898982944,-166.419508374714,10084.727022798039
2009-01-23,23276.403735106873,7.676643667466484,10036.678659789342
2009-01-26,22937.14295911028,125.78747873135237,10366.69434286045
2009-01-27,23771.03324364061,209.12143450886927,10442.4880207318
2009-01-28,23580.88187659795,-3.1506620864869967,10406.10782791048
2009-01-29,24034.8848292525,219.5728567277326,10640.89397372101
2009-01-30,23704.727384307756,114.96100087000805,10295.021757814307
2009-02-02,23532.35218356038,99.93428502897325,10218.423003982334
2009-02-03,23574.792158465578,11.862724683468748,10146.904517671685
2009-02-04,23804.51832621566,107.94702164676092,10254.81454209937
2009-02-05,23740.45101562544,81.78938723379375,10281.058408724482
2009-02-06,24407.24708485478,0.8822719402956485,10538.059808548236
2009-02-09,24280.425396075676,94.08274192323283,10651.304540680449
2009-02-10,24496.148927107824,-25.021835022108007,10598.163476335912
2009-02-11,23693.342496365523,-49.65118527046218,10328.02515248935
2009-02-12,23849.132810277908,-38.46493487466226,10402.366254477338
2009-02-13,24092.560307834487,198.43238981770864,10618.421710884419
2009-02-17,23727.931977711152,-103.85649834545818,10371.65446865036
2009-02-18,23957.92758646556,60.04176995081832,10304.917648322184
2009-02-19,24109.514551735803,24.96112186937632,10447.982646250002
2009-02-20,22924.00242876965,256.8227004458422,10193.365804222332
2009-02-23,23568.372090728717,253.06519577618482,10462.568377208787
2009-02-24,23704.18630637147,419.6004953187203,10493.210487680588
2009-02-25,23003.45551327727,372.05684650713977,10182.67772343011
2009-02-26,25654.282533315767,84.15867281876797,10688.871376678711
2009-02-27,23859.610907483395,173.8340262528488,10419.680256066738
2009-03-02,23864.341819215053,224.78795448424154,10228.18227282274
2009-03-03,23328.23365069716,144.53904674739084,10083.6545243409
2009-03-04,22041.633410626768,272.0433832304502,9905.02952915254
2009-03-05,23132.527650564825,314.1131899246344,10066.14959524737
2009-03-06,22681.255009049113,63.838259363996485,10047.775304609502
2009-03-09,23121.653615580253,209.59432346082767,10212.694902369994
2009-03-10,22931.84807149267,222.646471179426,9959.668997087052
2009-03-11,22534.097808873204,198.8143443283415,10009.084933461118
2009-03-12,23291.731329952137,-65.53521983991767,10061.313639047657
2009-03-13,23574.773224512894,206.65174128868085,10477.380319827607
2009-03-16,24761.791634842888,117.23991249446452,10731.123787012695
2009-03-17,24166.354481035407,11.828373168912513,10448.004288602391
2009-03-18,24746.36508637822,-124.46366733701956,10635.728190960504
2009-03-19,25961.861556194817,39.75442167676546,11298.326075693652
2009-03-20,25981.733148737665,47.218681441379246,11355.267154837886
2009-03-23,24380.626779873746,199.69256316621443,10948.44517038458
2009-03-24,26525.417600173852,185.30185537689115,11662.873462357486
2009-03-25,26395.523970115384,190.38629108368934,11539.52947454219
2009-03-26,26061.798719616512,251.41386065270245,11653.55661116014
2009-03-27,26895.65153846867,172.7708072611551,11889.458355429968
2009-03-30,26919.26350932833,153.0136794362497,11747.225043635754
2009-03-31,25208.882563039042,27.72548140339671,11172.674921573074
2009-04-01,25742.173034889565,250.9483108373588,11447.096330363844
2009-04-02,26219.917790920033,198.84152160334327,11723.07995947897
2009-04-03,27493.193829074517,227.46706916018832,12108.564650974138
