Date,portfolio
2006-01-04,0.00410936299564756
2006-01-05,-0.004430100647096884
2006-01-06,0.009221017342536966
2006-01-09,0.003190182590958708
2006-01-10,-0.003472984026094433
2006-01-11,0.0038788389216924827
2006-01-12,-0.0024933001709022354
2006-01-13,0.007491134705186162
2006-01-16,-0.0005549147508494216
2006-01-17,-0.001354592621531944
2006-01-18,-0.0063578983403902245
2006-01-19,0.006912561413716756
2006-01-20,-0.005015375905107668
2006-01-23,0.006836904343518214
2006-01-24,-0.001133786352873445
2006-01-25,9.003273830167618e-05
2006-01-26,-0.0009368847181093697
2006-01-27,-0.0011236513956603088
2006-01-30,0.0037763697620504326
2006-01-31,-0.0001006049045987013
2006-02-01,-0.0007153288478735933
2006-02-02,-0.001333559539069663
2006-02-03,-0.0037869287164674394
2006-02-06,-7.189631157804169e-05
2006-02-07,-0.011420699724231544
2006-02-08,0.0025771331847284137
2006-02-09,0.006512364333280793
2006-02-10,-0.00835364741294169
2006-02-13,-0.005280769089368984
2006-02-14,0.005914090935177315
2006-02-15,-0.0026693771063018663
2006-02-16,0.0056966082564855235
2006-02-17,0.0029105528849311894
2006-02-20,-0.00016713539257836698
2006-02-21,-0.0004919187498556395
2006-02-22,0.0033597271687581722
2006-02-23,-0.004027592752738248
2006-02-24,0.003948543747310783
2006-02-27,-0.002871745256700309
2006-02-28,0.004111284988204608
2006-03-01,0.001641483125206147
2006-03-02,0.004300879917574978
2006-03-03,-0.003661782618179764
2006-03-06,-0.007272947587474064
2006-03-07,-0.004174199708982231
2006-03-08,-0.003072590924527536
2006-03-09,-0.0006732286070548069
2006-03-10,0.0001238582176513246
2006-03-13,0.0036445545643635996
2006-03-14,0.007687302982544776
2006-03-15,0.0028721334509395086
2006-03-16,0.005234192213476331
2006-03-17,-0.000952177887137589
2006-03-20,-0.0002870069067609947
2006-03-21,-0.005286114319440444
2006-03-22,0.0008599527109817673
2006-03-23,-0.0036106178929321765
2006-03-24,0.007171650328210268
2006-03-27,0.0016227335118180462
2006-03-28,-0.004229353555055116
2006-03-29,0.006196400028864043
2006-03-30,0.008267710650966043
2006-03-31,-0.0029902241497239577
2006-04-03,0.0016117251908983217
2006-04-04,0.003505375535225472
2006-04-05,0.0034253514965969113
2006-04-06,0.00014410074150191313
2006-04-07,-0.009071520615216544
2006-04-10,0.005318644680572208
2006-04-11,-0.003409874684313718
2006-04-12,0.0009519658234028588
2006-04-13,-0.0013257643749325868
2006-04-14,-8.480143384169308e-05
2006-04-17,0.010371850889702544
2006-04-18,0.010123123383483965
2006-04-19,0.007554050429213042
2006-04-20,-0.012458938010980247
2006-04-21,0.010232590257946213
2006-04-24,-0.005386062097702894
2006-04-25,0.0027350148511204883
2006-04-26,0.0037748576656563794
2006-04-27,0.000824097444341001
2006-04-28,0.011656121495338581
2006-05-01,-0.0042410565681896915
2006-05-02,0.00828804398975824
2006-05-03,-0.0014955849171342551
2006-05-04,0.006086238545674013
2006-05-05,0.005203802823352017
2006-05-08,-0.00225629035252133
2006-05-09,0.009378969623410295
2006-05-10,0.002638288211671036
2006-05-11,0.00033788311993613674
2006-05-12,-0.0023956434235955005
2006-05-15,-0.015079315020349178
2006-05-16,0.006149528323137834
2006-05-17,-0.009312075155672301
2006-05-18,9.501855880423692e-05
2006-05-19,-0.007103578757322872
2006-05-22,-0.000966294515757565
2006-05-23,0.0007329456265631497
2006-05-24,-0.006708920370048532
2006-05-25,0.005858534072403885
2006-05-26,0.0016374308632535748
2006-05-29,0.00023577578006407692
2006-05-30,-0.0024327297649387354
2006-05-31,-0.0023515300228044078
2006-06-01,-0.0038870510264857536
2006-06-02,0.008256732255116458
2006-06-05,-0.005322520688942652
2006-06-06,-0.004870945456687838
2006-06-07,-0.0036926293792810807
2006-06-08,-0.008445014295418576
2006-06-09,-0.0022318051379903135
2006-06-12,-0.005681699983778329
2006-06-13,-0.02110966458292428
2006-06-14,0.0001696938176085482
2006-06-15,0.012827510773662893
2006-06-16,-0.00032066837362565697
2006-06-19,-0.009327967880760351
2006-06-20,0.004974749348542967
2006-06-21,0.007693313778850359
2006-06-22,-0.006004663953360146
2006-06-23,-0.0003506255745228512
2006-06-26,0.0034891173890697538
2006-06-27,-0.004498460566267273
2006-06-28,-0.0001910396081488909
2006-06-29,0.01683188766006
2006-06-30,0.010311969754715662
2006-07-03,0.005101247193562253
2006-07-04,-0.00021432614772320366
2006-07-05,-0.0021549017103260743
2006-07-06,0.004404454045722692
2006-07-07,-0.0014674140758680135
2006-07-10,-0.0033299255788845107
2006-07-11,0.008934900808891316
2006-07-12,0.0007570475627765231
2006-07-13,-0.0014211342169948625
2006-07-14,-0.0006873177768253049
2006-07-17,-0.010404897416476796
2006-07-18,-0.004147810951321567
2006-07-19,0.011412520037842006
2006-07-20,-0.006405474179238857
2006-07-21,-0.0038221242527309925
2006-07-24,0.0005794646875792642
2006-07-25,0.0015193753905986323
2006-07-26,0.0053230359315051545
2006-07-27,0.0030018007670069677
2006-07-28,0.005086134463570516
2006-07-31,0.000793591510765189
2006-08-01,0.004272456506073447
2006-08-02,0.0030186781601833543
2006-08-03,-0.0015827679572926409
2006-08-04,0.002980601573735478
2006-08-07,-0.00123521398456172
2006-08-08,-0.004008267524326889
2006-08-09,0.003703643741484794
2006-08-10,-0.0061653004146317485
2006-08-11,-0.004981168733727077
2006-08-14,-0.002116496808752133
2006-08-15,0.004539432277080563
2006-08-16,0.006056303000299459
2006-08-17,-0.005550884700769598
2006-08-18,0.001901645180248946
2006-08-21,0.005774177342278761
2006-08-22,-0.002681964605606403
2006-08-23,-0.0024291547920826024
2006-08-24,-0.0006653488771607885
2006-08-25,0.0006284285963586739
2006-08-28,-0.0012824274500287446
2006-08-29,0.000968477896192424
2006-08-30,0.00264945160294347
2006-08-31,0.003189431752372235
2006-09-01,0.0017826573546993866
2006-09-04,0.00040788239395385357
2006-09-05,0.0038718871404287247
2006-09-06,-0.004472060483227072
2006-09-07,-0.009157917961647591
2006-09-08,-0.0027096776276971423
2006-09-11,-0.008460494798955493
2006-09-12,0.002077264540314365
2006-09-13,0.0025681669184631317
2006-09-14,-0.006130620160425345
2006-09-15,-6.761878963551407e-05
2006-09-18,0.0046669103408088905
2006-09-19,-0.005412430684081758
2006-09-20,0.003088970711934481
2006-09-21,0.005394899918380026
2006-09-22,0.0027247391628426607
2006-09-25,0.0016765595477676552
2006-09-26,0.0013201716441430505
2006-09-27,0.005126882386549786
2006-09-28,-0.0004647393225982587
2006-09-29,-0.002636328992373419
2006-10-02,-0.0002740762862542003
2006-10-03,-0.008415817439430992
2006-10-04,0.00035656635371117526
2006-10-05,0.00169454593176041
2006-10-06,-0.003174684875052814
2006-10-09,0.0013104483632501791
2006-10-10,-0.003431820204930631
2006-10-11,-0.0012868126389687876
2006-10-12,0.005692583948806481
2006-10-13,0.003771114274447353
2006-10-16,0.004078520199987227
2006-10-17,-0.0026413883450754983
2006-10-18,-0.00010618555599519738
2006-10-19,0.005412858425889805
2006-10-20,-0.002889108918955272
2006-10-23,-0.005221815690088255
2006-10-24,0.003008512885689574
2006-10-25,0.005419283400580377
2006-10-26,0.005410426632095818
2006-10-27,0.0006704434210624891
2006-10-30,0.0015416620366796269
2006-10-31,0.003454130346168892
2006-11-01,0.0035330996287483945
2006-11-02,0.0019347867031347151
2006-11-03,-0.0022476977412463767
2006-11-06,0.0017615179896989788
2006-11-07,0.003459220649543114
2006-11-08,-0.0030658195206365296
2006-11-09,0.007485905040686071
2006-11-10,-0.0007656262703897676
2006-11-13,-0.0012548949122464898
2006-11-14,-0.00011491322486425245
2006-11-15,0.0010886687107765157
2006-11-16,-0.002748607170402731
2006-11-17,0.003977677980640703
2006-11-20,-0.0003701643340370055
2006-11-21,0.003170424757416259
2006-11-22,0.0036108246267391704
2006-11-23,0.0002524526286898739
2006-11-24,0.005779537008801825
2006-11-27,-0.001521810022186825
2006-11-28,0.002365205142672154
2006-11-29,-0.0003825633578526796
2006-11-30,0.008190713292969689
2006-12-01,0.0006676453214896818
2006-12-04,0.0017775571707933876
2006-12-05,-0.0007824308539963716
2006-12-06,-0.005635057966485935
2006-12-07,-0.001035784525403498
2006-12-08,-0.001378779633969304
2006-12-11,0.000905124098199075
2006-12-12,0.0006948013665965089
2006-12-13,-0.002445666755597559
2006-12-14,-0.0008093579604877418
2006-12-15,-0.005561468969772588
2006-12-18,-0.00026770954865881254
2006-12-19,0.005429343387206084
2006-12-20,-0.0013093186090428776
2006-12-21,-0.0010507551040959064
2006-12-22,-0.002475950900256184
2006-12-25,-1.969207226324331e-05
2006-12-26,0.00248953368966196
2006-12-27,0.0022242083222379174
2006-12-28,0.002052089915841539
2006-12-29,0.0010169016906265405
2007-01-01,0.0003962519491448424
2007-01-02,0.001076352736901278
2007-01-03,-0.005403981413507919
2007-01-04,-0.0025935294808381412
2007-01-05,-0.010961775515972492
2007-01-08,0.0036772366881104653
2007-01-09,0.0004249225310757435
2007-01-10,-0.0017614491581433738
2007-01-11,-0.00027765600954987157
2007-01-12,0.008285500362632627
2007-01-15,0.00015193824856745441
2007-01-16,-0.001115485608946319
2007-01-17,0.0026916804676413754
2007-01-18,-0.0016227114598341913
2007-01-19,0.0032054062062667346
2007-01-22,-0.001795371749769169
2007-01-23,0.00736020550946451
2007-01-24,0.001267838441376428
2007-01-25,-0.005423478923164563
2007-01-26,-4.348570869283511e-05
2007-01-29,-0.001230688571747593
2007-01-30,0.003360026289271572
2007-01-31,0.006051854209400562
2007-02-01,0.0027318506507731785
2007-02-02,-0.0041287609709550815
2007-02-05,-0.00015751399016010294
2007-02-06,0.003633158330154802
2007-02-07,0.00123160936693211
2007-02-08,0.0034782974220442103
2007-02-09,-0.0009846475300342142
2007-02-12,-0.0037425037120598107
2007-02-13,0.00389218459781609
2007-02-14,0.007132617523852257
2007-02-15,0.0007786040399718427
2007-02-16,1.984328436716395e-05
2007-02-19,0.0002661915117100185
2007-02-20,-0.003228975984737462
2007-02-21,0.007385649117310664
2007-02-22,-0.0018338607327907583
2007-02-23,0.0029675679815831663
2007-02-26,0.002433438702596028
2007-02-27,-0.017217908799515246
2007-02-28,0.00567988728419402
2007-03-01,-0.004130826306626045
2007-03-02,-0.010727035262907058
2007-03-05,-0.0068079954916211854
2007-03-06,0.009686115233828611
2007-03-07,0.0015516895583449412
2007-03-08,0.0020798458815704567
2007-03-09,-0.002727063171718453
2007-03-12,0.002897420908692541
2007-03-13,-0.006297385574945972
2007-03-14,0.0032410569988067343
2007-03-15,0.0011329377056901626
2007-03-16,0.0024159231569416857
2007-03-19,0.003033381552192152
2007-03-20,0.003823765476530047
2007-03-21,0.008093547666253077
2007-03-22,-0.0024743346948967286
2007-03-23,-0.0030490469900229743
2007-03-26,0.003168047860021712
2007-03-27,-0.0005657561130673448
2007-03-28,-0.0014655507903245722
2007-03-29,-0.0012414211830794265
2007-03-30,0.0005447107865706311
2007-04-02,0.0011845762816713153
2007-04-03,0.001545027146026905
2007-04-04,0.005282319039400306
2007-04-05,0.001312050686262055
2007-04-06,-0.0005601300364084369
2007-04-09,-0.0029180811094790407
2007-04-10,0.004602452212327439
2007-04-11,-0.0014754083774297534
2007-04-12,0.001964853177102801
2007-04-13,0.004419089799294158
2007-04-16,0.004840184947812703
2007-04-17,0.001049000897145624
2007-04-18,0.0030437677265706168
2007-04-19,-0.003034381511881061
2007-04-20,0.0057222659037768795
2007-04-23,-0.002129227331462323
2007-04-24,-0.00041034354946187365
2007-04-25,0.0027792752567435816
2007-04-26,-0.005142059711507794
2007-04-27,0.0035782748965865847
2007-04-30,-0.0027986708597368013
2007-05-01,-0.0017799518450518624
2007-05-02,0.0008068590373965311
2007-05-03,0.0035820955277904533
2007-05-04,0.004766468294094352
2007-05-07,0.0006844212614558068
2007-05-08,-0.002779500078688662
2007-05-09,-0.001981271644003382
2007-05-10,-0.008240002069226992
2007-05-11,0.004018317000052546
2007-05-14,-0.001144182125169996
2007-05-15,0.0019920777869938235
2007-05-16,-0.0033327077263815086
2007-05-17,-0.0037279322944086036
2007-05-18,0.0035008373992347352
2007-05-21,-9.478092380027503e-05
2007-05-22,-0.002951509279044426
2007-05-23,0.0009563696763288066
2007-05-24,-0.005490780020112975
2007-05-25,0.001871308935858096
2007-05-28,3.697851384487693e-05
2007-05-29,0.0007712385823727228
2007-05-30,0.0006655557557555693
2007-05-31,0.0032422702472531695
2007-06-01,0.00330410192203395
2007-06-04,0.0017379954920672307
2007-06-05,-0.0019122929912450304
2007-06-06,-0.0029310067315615044
2007-06-07,-0.012636153362563777
2007-06-08,-0.001586115297908734
2007-06-11,0.0015604012442432872
2007-06-12,-0.00779110099693979
2007-06-13,0.006277820953917986
2007-06-14,0.0020352572985183706
2007-06-15,0.004658086409696199
2007-06-18,0.0006565779119970477
2007-06-19,0.004015993428417898
2007-06-20,-0.00778662853782151
2007-06-21,0.00045680672293949796
2007-06-22,0.000664636527985563
2007-06-25,-0.0018000804599210898
2007-06-26,-0.006037126687844979
2007-06-27,0.0038085511994844445
2007-06-28,0.001969884630444367
2007-06-29,0.0030695200136189303
2007-07-02,0.007351343256109626
2007-07-03,-0.0013397895843361785
2007-07-04,5.78598783010965e-05
2007-07-05,-0.003195989216466883
2007-07-06,0.003373202616660375
2007-07-09,0.002602367506210003
2007-07-10,0.001484130498921694
2007-07-11,0.0001405606168287713
2007-07-12,0.0060241616916472925
2007-07-13,0.0012860082460198264
2007-07-16,1.818608214733473e-05
2007-07-17,-0.0006839582346223051
2007-07-18,0.004037985550920824
2007-07-19,0.0022351344967245505
2007-07-20,0.0014552913299044818
2007-07-23,-0.00026073965983921735
2007-07-24,-0.0033350777734275083
2007-07-25,-0.0030666467250976027
2007-07-26,-0.008288285247655267
2007-07-27,-0.007475002473899653
2007-07-30,0.006003289699014771
2007-07-31,-0.002453749124456761
2007-08-01,0.001145119701554385
2007-08-02,0.0025682876272016667
2007-08-03,-0.0004413074720422956
2007-08-06,0.0026958661916766983
2007-08-07,0.001457265096456494
2007-08-08,0.003937389756843285
