,pnl_irs,pnl_straddle
2006-01-04,-945.6435633274232,169.21274091887994
2006-01-05,0.0,-96.50413401315916
2006-01-06,1891.1059341728833,249.58236963598068
2006-01-09,0.0,155.48236382841907
2006-01-10,4724.59578881276,-109.89696778915459
2006-01-11,2832.5864930285898,229.0968012597716
2006-01-12,-3777.1436821423413,-363.55552349146336
2006-01-13,-5671.144533871891,-166.3611746077791
2006-01-17,-1891.830912487727,-64.16017275135033
2006-01-18,0.0,-229.9452219993512
2006-01-19,3782.93684666061,15.652646571226114
2006-01-20,-945.4623708454601,267.82285114754245
2006-01-23,-945.6435633274232,-374.72104913101134
2006-01-24,3781.4873066852597,-359.89668503593464
2006-01-25,8497.760881259048,-286.9866400222634
2006-01-26,3772.08557247126,-148.41138085115801
2006-01-27,-942.7507210762124,286.8259353361253
2006-01-30,1885.3210804302944,-86.39250087812655
2006-01-31,-942.570359354082,-450.0310988214906
2006-02-01,3769.199784522527,115.90749291725899
2006-02-02,0.0,-540.2709760873563
2006-02-03,-2826.629425168445,-293.38422176707013
2006-02-06,942.39004938578,-175.60664846720897
2006-02-07,1884.2393757826649,110.82672470501365
2006-02-08,-942.0295846312656,-588.6442255755426
2006-02-09,-1884.5998405371793,-179.68963164204865
2006-02-10,4710.148181627592,-318.51329970665176
2006-02-13,-941.6693266539078,-217.69363576399314
2006-02-14,3765.597204157384,-57.768838042463244
2006-02-15,-941.1293270499154,191.64171130097253
2006-02-16,-1882.798550453561,-420.6502848315665
2006-02-17,-4710.148181627592,105.75578814413689
2006-02-21,2826.629425168445,65.75529807959413
2006-02-22,-3769.199784522527,-262.9771257410596
2006-02-23,2827.1701998912613,-142.71143966861644
2006-02-24,1883.8790144365048,-225.56236109549843
2006-02-27,941.6693266539078,-38.956131786719084
2006-02-28,-3767.758132241812,104.06917390193371
2006-03-01,3767.758132241812,-366.1781839064844
2006-03-02,4705.646893227764,-43.29945560618853
2006-03-03,3761.2809213809087,-96.99374711740916
2006-03-06,5636.534785372845,200.77194958783195
2006-03-07,0.0,-128.87696828347828
2006-03-08,-938.9739669194096,-289.44501790068955
2006-03-09,938.9739669194096,196.97590467737314
2006-03-10,1877.4101480616082,-652.6805184300031
2006-03-13,938.4362838024972,-299.57841920743533
2006-03-14,-5633.306375197222,-8.745871009345763
2006-03-15,1878.4859764137072,351.90573315691154
2006-03-16,-7518.251948027872,191.9964570674395
2006-03-17,2820.6911295744358,-39.87502952909949
2006-03-20,-1880.2810797500715,-378.0723588172563
2006-03-21,4699.3559217898,-696.7591902663983
2006-03-22,-939.512112272263,245.41338526488943
2006-03-23,2817.9980886859703,-381.99881473654784
2006-03-24,-5637.611538844387,-97.03634118933735
2006-03-27,2819.6134501584165,-310.3488294861734
2006-03-28,8449.153731121653,-732.3650004256806
2006-03-29,1875.6191534913378,266.6706953793288
2006-03-30,4685.917678198661,-444.37416207277283
2006-03-31,0.0,-178.90330958309164
2006-04-03,1873.1160635086708,-27.863692134275198
2006-04-04,-936.468725181272,-91.09442850450478
2006-04-05,-2810.4780588615686,73.92089336662622
2006-04-06,5619.348599291028,-22.949610956111144
2006-04-07,6547.78754254806,-83.59064512760028
2006-04-10,0.0,-119.75363768884506
2006-04-11,-3740.523141758691,220.63843904605562
2006-04-12,4675.208541989123,-240.3118434496747
2006-04-13,6537.815185485757,-258.9063011331092
2006-04-17,-3734.8270949558355,-31.259374381349403
2006-04-18,-1868.4807425712643,-356.9082724680328
2006-04-19,4669.867735562846,-47.299329624472364
2006-04-20,0.0,69.99755894374005
2006-04-21,-2801.386992991582,-135.72228458561852
2006-04-24,-1868.4807425712643,-194.2101457898886
2006-04-25,7469.65500247106,-337.36385315364004
2006-04-26,4662.760884640389,-134.57806743964795
2006-04-27,-2797.1241001950693,121.75958158238132
2006-04-28,-1865.6367844453198,32.46427830033127
2006-05-01,6526.623491256876,-414.7093822522052
2006-05-02,-1863.862606616487,138.92061479886308
2006-05-03,2795.528023675637,-454.49047982397417
2006-05-04,931.4882269835798,67.15044923192437
2006-05-05,-3727.016250659217,840.6369298380589
2006-05-08,0.0,-270.63724988230575
2006-05-09,932.0199489187507,156.48003782454722
2006-05-10,0.0,-214.07065001936942
2006-05-11,931.8426576977363,-1865.7942384696291
2006-05-12,4656.555689883418,-669.5098262254717
2006-05-15,-3724.8902728242683,-382.6307488430416
2006-05-16,-4660.099997602112,-247.36558813361853
2006-05-17,5591.588224585692,1461.7003036282058
2006-05-18,-7456.8699708660715,403.942906510224
2006-05-19,-2799.2543293774943,-318.0079913502851
2006-05-22,-933.4401019642537,396.3496762049843
2006-05-23,2799.7872669082135,516.156069844378
2006-05-24,-3733.405116202164,-946.4371970905177
2006-05-25,3733.405116202164,-1369.40671150262
2006-05-26,-933.0847595533996,-741.0117579855182
2006-05-30,2798.7215439987194,2192.405078092534
2006-05-31,2797.1241001950693,-1469.8777185675738
2006-06-01,-932.1972907414311,-1072.765945668749
2006-06-02,-10265.88924981089,-233.17254831992784
2006-06-05,1868.124892310705,1027.561056391569
2006-06-06,-933.9734962985676,182.58769898317695
2006-06-07,933.9734962985676,471.9839724764583
2006-06-08,-1868.124892310705,54.53380485551662
2006-06-09,-1868.836694517784,63.25344328889315
2006-06-12,934.5073479586572,1554.3298317914064
2006-06-13,-1869.192748189089,1690.4773260462348
2006-06-14,7472.500585716189,-1439.8206117765646
2006-06-15,4664.536075657874,-3463.382673847352
2006-06-16,2796.591922845226,918.442325445234
2006-06-19,931.8426576977363,1039.0385281028873
2006-06-20,931.6654170591501,-651.0567882911466
2006-06-21,931.4882269835798,-1255.558262761543
2006-06-22,3724.1820177691116,665.7577056604032
2006-06-23,2791.278492268786,22.543570406376112
2006-06-26,1859.968312821351,-738.0584144222997
2006-06-27,-3720.643770709925,-17.002827204436244
2006-06-28,3720.643770709925,-230.70114772181682
2006-06-29,-2790.217623429926,64.63485557515725
2006-06-30,-6516.6994264129025,-75.20789401225869
2006-07-03,0.0,317.81039464883776
2006-07-05,7446.948737021477,-320.78493627282967
2006-07-06,-3722.058464197209,2.545033389871776
2006-07-07,-4656.555689883418,-617.2018737422675
2006-07-10,-931.8426576977363,61.14984627313902
2006-07-11,-2796.591922845226,54.037568027837324
2006-07-12,0.0,-665.630068872872
2006-07-13,-1865.2817462803796,346.09529043817844
2006-07-14,-932.9071644335345,-123.56242830028918
2006-07-17,0.0,21.437314181540046
2006-07-18,5594.78083355914,-473.0047311034298
2006-07-19,-6527.8655931125395,-379.1891734893227
2006-07-20,-2800.3203566487646,-326.74612981981
2006-07-21,1867.0579512582044,-8.790533818796575
2006-07-24,0.0,-26.09039645236777
2006-07-25,1866.3471649439598,133.60988881790092
2006-07-26,-2799.7872669082135,-66.93144559115893
2006-07-27,2799.7872669082135,-208.78108703228548
2006-07-28,-6535.325655911933,1041.5563390098725
2006-07-31,-934.3293465591269,-210.99043542928797
2006-08-01,0.0,-828.288547249091
2006-08-02,-2804.0562515826023,826.3698623877866
2006-08-03,0.0,358.1777891379252
2006-08-04,-4676.990846974455,-367.14390688364506
2006-08-07,1871.3312086092774,-462.05143117785053
2006-08-08,0.0,-727.1223225852914
2006-08-09,-935.5764253488451,-220.06864427336836
2006-08-10,935.5764253488451,-400.5259349716823
2006-08-11,3740.523141758691,-265.3473102342474
2006-08-14,2803.5220947482157,-123.79600702148252
2006-08-15,-6544.045236506907,1.700340116670418
2006-08-16,-5616.134941218828,125.81523125668781
2006-08-17,0.0,82.49754221503736
2006-08-18,-2810.4780588615686,283.23287634988856
2006-08-21,-1874.5457866362121,-417.2057981603991
2006-08-22,0.0,-122.1591996152469
2006-08-23,0.0,-331.46973097577614
2006-08-24,-937.5411710282788,-197.55803037718778
2006-08-25,-1875.6191534913378,-18.076470770388653
2006-08-28,937.899062392331,390.18881758514823
2006-08-29,-937.899062392331,57.50287017967892
2006-08-30,-2814.7715274546645,-40.204976156239525
2006-08-31,-1877.4101480616082,-109.07970074714868
2006-09-01,-938.9739669194096,690.570258543131
2006-09-05,4693.077557508077,283.5248938982087
2006-09-06,1875.9771473199362,-1201.666083080486
2006-09-07,0.0,-677.264663414526
2006-09-08,-1875.9771473199362,88.46351656652729
2006-09-11,1875.9771473199362,-14.486993134056547
2006-09-12,-1875.9771473199362,1375.6461646949995
2006-09-13,-938.257158724562,639.0005362890214
2006-09-14,1876.3352436521673,-27.224630181294174
2006-09-15,937.899062392331,388.4393379192144
2006-09-18,937.7200910990068,213.90312749297013
2006-09-19,-6567.80082900761,-495.4351655567617
2006-09-20,-938.9739669194096,941.2056718352097
2006-09-21,-7518.251948027872,166.21075725490186
2006-09-22,-4704.747409876756,7.317579411349584
2006-09-25,-3767.0376162478933,-139.90484431360528
2006-09-26,2825.5483410904126,83.80824549293209
2006-09-27,941.4892751574807,4.159622531396678
2006-09-28,2823.3880327454826,-78.26978350357905
2006-09-29,940.7695853248006,-65.63874810296255
2006-10-02,-1881.7190157242876,-111.5669905259935
2006-10-03,0.0,-131.5253791645432
2006-10-04,-4707.446633962623,761.6841423747971
2006-10-05,3766.317306912708,144.1248655488323
2006-10-06,8463.691993922577,-374.2875164810613
2006-10-09,0.0,-5.518244157634911
2006-10-10,4695.7667434857285,15.473161378263711
2006-10-11,2815.308902708319,-232.7273649439583
2006-10-12,938.0780849276052,1010.5314718040752
2006-10-13,1875.6191534913378,288.3810448684834
2006-10-16,-1875.6191534913378,219.00613206536866
2006-10-17,-938.0780849276052,-531.5623112211476
2006-10-18,-938.257158724562,93.20720501165347
2006-10-19,1876.3352436521673,173.1867458360874
2006-10-20,0.0,-38.08113060240714
2006-10-23,3750.522626680002,802.8193599038111
2006-10-24,0.0,509.11467219768446
2006-10-25,-4688.600711607607,610.1218839028579
2006-10-26,-4693.077557508077,561.0867645408017
2006-10-27,-4697.560818453436,-1249.4714061644015
2006-10-30,0.0,-176.32292818180593
2006-10-31,-6584.129264155112,-64.56549388540012
2006-11-01,-3766.317306912708,-1333.3553062100502
2006-11-02,2825.0080316166277,-164.88252243965462
2006-11-03,11283.846060586628,-274.8953848713285
2006-11-06,-939.3326790957071,356.4905210416782
2006-11-07,-4699.3559217898,134.32783212950028
2006-11-08,-1880.9998416308372,-66.32496061694582
2006-11-09,-1881.7190157242876,-408.23237866222684
2006-11-10,-2823.9278775034763,-172.8822289804839
2006-11-13,1882.798550453561,106.93301952225909
2006-11-14,-3766.317306912708,495.505145646014
