"date","VaR_95","VaR_99","realised_pnl","exception_95","exception_99","cop_engine","refit_used","refit_id"
2007-01-03,5370.93901682913,8910.66150170668,-9093.87655112911,TRUE,TRUE,"vine",TRUE,1
2007-01-04,5951.60591717221,10111.0635626783,-7042.79862337225,TRUE,FALSE,"vine",FALSE,1
2007-01-05,6029.1147185555,10355.9988987894,-9827.40208124418,TRUE,FALSE,"vine",FALSE,1
2007-01-08,6704.40257597627,10579.8569929681,4466.73274198879,FALSE,FALSE,"vine",FALSE,1
2007-01-09,6611.01188176357,10576.2664024317,389.027978032202,FALSE,FALSE,"vine",FALSE,1
2007-01-10,6569.94620020923,10714.4239228618,-126.75778580287,FALSE,FALSE,"vine",FALSE,1
2007-01-11,6499.04476050568,10952.0956327747,3020.88534452238,FALSE,FALSE,"vine",FALSE,1
2007-01-12,6539.01756299888,10436.8549428069,11590.5938661912,FALSE,FALSE,"vine",FALSE,1
2007-01-16,6724.10854800707,10932.6281095554,-2838.77768061205,FALSE,FALSE,"vine",FALSE,1
2007-01-17,6900.07491213621,11846.5082408272,5851.35362787295,FALSE,FALSE,"vine",FALSE,1
2007-01-18,6848.24808936702,11142.0748257102,-5060.05140255404,FALSE,FALSE,"vine",FALSE,1
2007-01-19,6860.02009881516,11769.0414729486,5705.51785039593,FALSE,FALSE,"vine",FALSE,1
2007-01-22,6966.3812153847,11199.1466056339,-3746.47621029244,FALSE,FALSE,"vine",FALSE,1
2007-01-23,6693.11303107461,11299.7853487853,12055.8983025763,FALSE,FALSE,"vine",FALSE,1
2007-01-24,7051.29448956178,11698.8277681331,1967.43394682144,FALSE,FALSE,"vine",FALSE,1
2007-01-25,7251.25154067484,12084.8245855991,-2684.82423763723,FALSE,FALSE,"vine",FALSE,1
2007-01-26,7028.64203420758,11558.4313898194,387.994809368179,FALSE,FALSE,"vine",FALSE,1
2007-01-29,6942.16979701962,12254.4888339421,-408.293606734505,FALSE,FALSE,"vine",FALSE,1
2007-01-30,6894.96528171297,11449.9822044695,2100.81620650037,FALSE,FALSE,"vine",FALSE,1
2007-01-31,6853.05455769997,10784.6144248102,7986.22775526962,FALSE,FALSE,"vine",FALSE,1
2007-02-01,6968.18891834706,11656.3728298408,4093.80692479657,FALSE,FALSE,"vine",FALSE,1
2007-02-02,6913.36698884745,10821.981088402,-5792.96286271646,FALSE,FALSE,"vine",FALSE,1
2007-02-05,7049.93888773168,11688.4016916447,-1437.02145385465,FALSE,FALSE,"vine",FALSE,1
2007-02-06,7149.06494845273,11352.2455565464,1245.99794456928,FALSE,FALSE,"vine",FALSE,1
2007-02-07,6951.44164914839,11493.3921846749,-995.769911989441,FALSE,FALSE,"vine",FALSE,1
2007-02-08,6761.98051022743,11175.1416180818,3358.57665245565,FALSE,FALSE,"vine",FALSE,1
2007-02-09,6820.36016296796,11619.6082979845,3304.08501230983,FALSE,FALSE,"vine",FALSE,1
2007-02-12,6912.27106755279,11064.6665508922,-3601.20406433194,FALSE,FALSE,"vine",FALSE,1
2007-02-13,6836.86841046353,10825.3842036541,5482.0104350815,FALSE,FALSE,"vine",FALSE,1
2007-02-14,6904.59539427352,11445.146293777,2729.591017234,FALSE,FALSE,"vine",FALSE,1
2007-02-15,6822.70362624143,11301.1745105234,-1990.75774162812,FALSE,FALSE,"vine",FALSE,1
2007-02-16,6574.24882918913,10852.9382154746,-988.158407112309,FALSE,FALSE,"vine",FALSE,1
2007-02-20,6629.21631291387,10898.7734451242,-4630.12142616782,FALSE,FALSE,"vine",FALSE,1
2007-02-21,6877.34173788273,11740.9805000885,9806.33095271397,FALSE,FALSE,"vine",FALSE,1
2007-02-22,7518.86497745841,12951.6859715077,555.086460331274,FALSE,FALSE,"vine",FALSE,1
2007-02-23,7563.76626224017,12464.3158334127,-493.94084863674,FALSE,FALSE,"vine",FALSE,1
2007-02-26,7702.0622297593,12551.2266263262,-783.178486404232,FALSE,FALSE,"vine",FALSE,1
2007-02-27,7512.85227113397,12003.1291140743,-27297.9910190548,TRUE,TRUE,"vine",FALSE,1
2007-02-28,9016.78036665681,15091.941016032,9411.09592723719,FALSE,FALSE,"vine",FALSE,1
2007-03-01,8668.44657853374,14295.2836271544,-4751.61591226591,FALSE,FALSE,"vine",FALSE,1
2007-03-02,8913.11306817267,14695.3378682325,-13875.2977067137,TRUE,FALSE,"vine",FALSE,1
2007-03-05,9406.41107496982,15751.3257961629,-7162.9667622835,FALSE,FALSE,"vine",FALSE,1
2007-03-06,9493.81063141131,16378.299536551,9538.58447159606,FALSE,FALSE,"vine",FALSE,1
2007-03-07,9819.23725620664,16106.8541197847,-550.641393818881,FALSE,FALSE,"vine",FALSE,1
2007-03-08,9197.83463483268,15659.5732999765,1690.87581678736,FALSE,FALSE,"vine",FALSE,1
2007-03-09,8920.51242069437,15996.5511901165,2589.79160475914,FALSE,FALSE,"vine",FALSE,1
2007-03-12,8903.80004664867,15501.5046412109,627.854444575987,FALSE,FALSE,"vine",FALSE,1
2007-03-13,8842.6305835038,15144.0159064021,-8168.71993471833,FALSE,FALSE,"vine",FALSE,1
2007-03-14,8985.0021214893,15188.2636262045,4468.11731426491,FALSE,FALSE,"vine",FALSE,1
2007-03-15,8706.59727544322,14252.574286627,4642.59944433468,FALSE,FALSE,"vine",FALSE,1
2007-03-16,7575.77105874364,12726.2342116825,3651.45088508778,FALSE,FALSE,"vine",TRUE,2
2007-03-19,12206.2451817131,20210.5020581842,4736.70445574479,FALSE,FALSE,"vine",FALSE,2
2007-03-20,15291.5902167011,24475.3986128812,2591.00479123931,FALSE,FALSE,"vine",FALSE,2
2007-03-21,17197.7746326121,26967.0631270648,8288.8613336227,FALSE,FALSE,"vine",FALSE,2
2007-03-22,22848.1815822377,33276.9741841305,2421.93284346232,FALSE,FALSE,"vine",FALSE,2
2007-03-23,23493.4980316078,31950.1717388962,-2088.86664379248,FALSE,FALSE,"vine",FALSE,2
2007-03-26,24312.3143705363,32782.0076112494,2142.90053764706,FALSE,FALSE,"vine",FALSE,2
2007-03-27,24631.6301709541,33511.8710242232,428.848423353211,FALSE,FALSE,"vine",FALSE,2
2007-03-28,24413.6663204781,34144.1068776192,-1869.87588184493,FALSE,FALSE,"vine",FALSE,2
2007-03-29,23150.5661850715,31663.2640600752,-92.1775739121044,FALSE,FALSE,"vine",FALSE,2
2007-03-30,23758.3505746016,33082.056918811,1077.30410892306,FALSE,FALSE,"vine",FALSE,2
2007-04-02,23567.499888646,32886.2169672941,1282.16400036989,FALSE,FALSE,"vine",FALSE,2
2007-04-03,23521.1612248613,33420.7403659026,4169.50116581435,FALSE,FALSE,"vine",FALSE,2
