"Family","logLik","AIC","BIC","KS_D","KS_p","KS_pass"
"SST",-6726.32,13460.64,NA,0.0271,0.0558,TRUE
"ST3",-6726.32,13460.64,NA,0.0271,0.0558,TRUE
"TF",-6727.73,13461.46,NA,0.0315,0.0156,FALSE
"JSU",-6727.71,13463.42,NA,0.0283,0.0397,FALSE
"LO",-6737.13,13478.27,NA,0.0293,0.0306,FALSE
"NO",-6767.35,13538.69,NA,0.0246,0.1053,TRUE
