Date,EURUSD,GLD,IEF,SPY
2006-01-03,1.2032970190048218,53.119998931884766,49.41805648803711,87.22504425048828
2006-01-04,1.2111963033676147,53.29999923706055,49.50644302368164,87.63810729980469
2006-01-05,1.2106977701187134,52.34000015258789,49.518253326416016,87.69317626953125
2006-01-06,1.2154065370559692,53.720001220703125,49.45345687866211,88.42292785644531
2006-01-09,1.207496166229248,54.599998474121094,49.47698974609375,88.65013122558594
2006-01-10,1.2064036130905151,54.060001373291016,49.2767219543457,88.73957824707031
2006-01-11,1.2139016389846802,54.529998779296875,49.15303421020508,89.02188110351562
2006-01-12,1.2045000791549683,54.43000030517578,49.32975387573242,88.67080688476562
2006-01-13,1.2142995595932007,55.439998626708984,49.54769515991211,88.58816528320312
2006-01-16,1.2116072177886963,55.439998626708984,49.54769515991211,88.58816528320312
2006-01-17,1.2108443975448608,55.2599983215332,49.60655975341797,88.3471908569336
2006-01-18,1.210800290107727,54.06999969482422,49.62424850463867,87.99610137939453
2006-01-19,1.2091021537780762,55.59000015258789,49.500526428222656,88.33343505859375
2006-01-20,1.2136069536209106,55.20000076293945,49.583038330078125,86.72248840332031
2006-01-23,1.2304056882858276,55.77000045776367,49.57120895385742,87.03229522705078
2006-01-24,1.2264971733093262,55.72999954223633,49.48879623413086,87.1218032836914
2006-01-25,1.2244998216629028,56.13999938964844,49.18248748779297,87.19751739501953
2006-01-26,1.2214934825897217,55.880001068115234,49.07643127441406,87.6794204711914
2006-01-27,1.2093945741653442,55.630001068115234,49.111846923828125,88.49176788330078
2006-01-30,1.208605170249939,56.68000030517578,49.005775451660156,88.42292785644531
2006-01-31,1.2148454189300537,56.70000076293945,49.07643127441406,87.77576446533203
2006-02-01,1.2066947221755981,56.70000076293945,48.925209045410156,88.38851928710938
2006-02-02,1.208400845527649,56.97999954223633,48.925209045410156,87.36273956298828
2006-02-03,1.2027037143707275,56.5,49.072914123535156,86.92903900146484
2006-02-06,1.196300983428955,56.720001220703125,49.00201416015625,87.15620422363281
2006-02-07,1.1992995738983154,54.599998474121094,48.94289779663086,86.38516235351562
2006-02-08,1.19650137424469,54.83000183105469,48.91339111328125,87.16996002197266
2006-02-09,1.1994003057479858,56.18000030517578,48.96064758300781,87.02542877197266
2006-02-10,1.19070303440094,54.790000915527344,48.81880569458008,87.18374633789062
2006-02-13,1.1911994218826294,53.720001220703125,48.81880569458008,87.02542877197266
2006-02-14,1.1915968656539917,54.4900016784668,48.74790954589844,87.9478988647461
2006-02-15,1.1885942220687866,53.7599983215332,48.836544036865234,88.2577133178711
2006-02-16,1.19070303440094,54.52000045776367,48.81290054321289,88.91858673095703
2006-02-17,1.1942009925842285,54.959999084472656,48.978363037109375,88.67765808105469
2006-02-20,1.193402886390686,54.959999084472656,48.978363037109375,88.67765808105469
2006-02-21,1.191994547843933,55.119998931884766,48.91931915283203,88.45733642578125
2006-02-22,1.1915968656539917,55.34000015258789,49.10245132446289,88.9943618774414
2006-02-23,1.1921935081481934,54.63999938964844,48.9842643737793,88.86351776123047
2006-02-24,1.1878036260604858,55.63999938964844,48.925209045410156,89.09070587158203
2006-02-27,1.1850025653839111,55.220001220703125,48.83061218261719,89.1251449584961
2006-02-28,1.1930042505264282,56.06999969482422,49.02565002441406,88.27835845947266
2006-03-01,1.191994547843933,56.099998474121094,48.928993225097656,89.06320190429688
2006-03-02,1.203905463218689,56.7400016784668,48.733402252197266,89.0562973022461
2006-03-03,1.204601526260376,56.279998779296875,48.614830017089844,88.64324951171875
2006-03-06,1.2016053199768066,55.22999954223633,48.46070861816406,88.23703002929688
2006-03-07,1.1890040636062622,54.95000076293945,48.48444747924805,88.09934997558594
2006-03-08,1.1927053928375244,53.970001220703125,48.508148193359375,88.28527069091797
2006-03-09,1.1904053688049316,54.2400016784668,48.55552673339844,87.69317626953125
2006-03-10,1.1911001205444336,53.83000183105469,48.46070861816406,88.52619171142578
2006-03-13,1.1967018842697144,54.310001373291016,48.41923141479492,88.69145202636719
2006-03-14,1.2018941640853882,54.869998931884766,48.69783401489258,89.62080383300781
2006-03-15,1.2071025371551514,55.119998931884766,48.60893249511719,90.02012634277344
2006-03-16,1.217492938041687,55.34000015258789,48.91712188720703,90.20597076416016
2006-03-17,1.2192000150680542,55.119998931884766,48.81639099121094,90.28131103515625
2006-03-20,1.216293454170227,55.16999816894531,48.9112434387207,90.13616180419922
2006-03-21,1.210800290107727,54.83000183105469,48.709712982177734,89.5694351196289
2006-03-22,1.2079044580459595,54.75,48.76899719238281,90.11550903320312
2006-03-23,1.197203278541565,54.70000076293945,48.64450454711914,89.92879486083984
2006-03-24,1.2034997940063477,55.709999084472656,48.85786437988281,89.99794006347656
2006-03-27,1.20110023021698,56.38999938964844,48.75120162963867,89.86664581298828
2006-03-28,1.20110023021698,56.060001373291016,48.51405715942383,89.31370544433594
2006-03-29,1.2030943632125854,57.06999969482422,48.466636657714844,89.87354278564453
2006-03-30,1.2167967557907104,58.599998474121094,48.32438278198242,89.71453857421875
2006-03-31,1.2115044593811035,58.099998474121094,48.35993194580078,89.73532104492188
2006-04-03,1.2139016389846802,58.470001220703125,48.30642318725586,89.66616821289062
2006-04-04,1.2260010242462158,58.33000183105469,48.31235885620117,90.23987579345703
2006-04-05,1.2288031578063965,58.65999984741211,48.42536163330078,90.55089569091797
2006-04-06,1.2214038372039795,59.279998779296875,48.28858184814453,90.45413208007812
2006-04-07,1.2094969749450684,58.59000015258789,48.068572998046875,89.53482055664062
2006-04-10,1.2111963033676147,59.599998474121094,48.12802505493164,89.67308044433594
2006-04-11,1.2148010730743408,59.0099983215332,48.217220306396484,88.91282653808594
2006-04-12,1.2114017009735107,59.43000030517578,48.104244232177734,89.07868194580078
2006-04-13,1.2116072177886963,59.5,47.8485221862793,88.9612045288086
2006-04-14,1.2111963033676147,59.5,47.8485221862793,88.9612045288086
2006-04-17,1.2254000902175903,61.09000015258789,48.03288269042969,88.9266128540039
2006-04-18,1.2367054224014282,61.849998474121094,48.187496185302734,90.33660888671875
2006-04-19,1.2378076314926147,63.75,48.050697326660156,90.5094223022461
2006-04-20,1.230905532836914,60.959999084472656,48.00908279418945,90.63383483886719
2006-04-21,1.234095573425293,63.20000076293945,48.11017990112305,90.64762115478516
2006-04-24,1.2388964891433716,61.650001525878906,48.16964340209961,90.4817886352539
2006-04-25,1.2428998947143555,62.779998779296875,47.86636734008789,90.10855102539062
2006-04-26,1.2448959350585938,63.650001525878906,47.84254455566406,90.12925720214844
2006-04-27,1.2531956434249878,62.959999084472656,47.973411560058594,90.564697265625
2006-04-28,1.2635995149612427,65.08999633789062,48.05663299560547,90.86881256103516
2006-05-01,1.258004069328308,65.16000366210938,47.79643249511719,90.12925720214844
2006-05-02,1.261702299118042,66.55000305175781,47.87400817871094,90.80661010742188
2006-05-03,1.2623074054718018,66.45999908447266,47.80836868286133,90.46794891357422
2006-05-04,1.270099401473999,67.4800033569336,47.77852249145508,90.79281616210938
2006-05-05,1.272799015045166,67.98999786376953,47.891929626464844,91.59457397460938
2006-05-08,1.27029287815094,67.55999755859375,47.91580581665039,91.4839859008789
2006-05-09,1.2766989469528198,69.68000030517578,47.897891998291016,91.6636734008789
2006-05-10,1.2774492502212524,70.37999725341797,47.92174530029297,91.61528778076172
2006-05-11,1.2851983308792114,71.02999877929688,47.83818435668945,90.5094223022461
2006-05-12,1.2929919958114624,71.12000274658203,47.659122467041016,89.3274917602539
2006-05-15,1.2790013551712036,67.41000366210938,47.760623931884766,89.5072021484375
2006-05-16,1.285000205039978,68.61000061035156,47.939693450927734,89.37586975097656
2006-05-17,1.2741937637329102,68.1500015258789,47.802364349365234,87.67559051513672
2006-05-18,1.2850992679595947,67.45999908447266,48.1425895690918,87.23324584960938
2006-05-19,1.2766989469528198,65.58000183105469,48.11277770996094,87.84841918945312
2006-05-22,1.2852975130081177,65.30000305175781,48.17839431762695,87.17791748046875
2006-05-23,1.2782983779907227,66.37999725341797,48.1605110168457,86.51439666748047
2006-05-24,1.277400255203247,64.05999755859375,48.23209762573242,87.20558166503906
2006-05-25,1.2810001373291016,64.69999694824219,48.1545295715332,88.2838134765625
2006-05-26,1.2739015817642212,65.0999984741211,48.19630813598633,88.73307800292969
2006-05-29,1.2751035690307617,65.0999984741211,48.19630813598633,88.73307800292969
2006-05-30,1.2865046262741089,65.11000061035156,48.1545295715332,87.15724182128906
2006-05-31,1.2816076278686523,64.2300033569336,48.00529479980469,88.13176727294922
2006-06-01,1.28109872341156,62.560001373291016,48.08557891845703,88.97499084472656
2006-06-02,1.2918059825897217,63.5,48.4570198059082,89.1615982055664
2006-06-05,1.290106177330017,63.290000915527344,48.36117172241211,87.86219024658203
2006-06-06,1.2821991443634033,62.54999923706055,48.40312194824219,87.64790344238281
2006-06-07,1.2801966667175293,62.279998779296875,48.33721160888672,86.99134826660156
2006-06-08,1.2648941278457642,60.90999984741211,48.40312194824219,86.91531372070312
2006-06-09,1.2640947103500366,60.45000076293945,48.52290344238281,86.63885498046875
2006-06-12,1.258605718612671,60.029998779296875,48.498939514160156,85.6988525390625
2006-06-13,1.2545949220657349,55.91999816894531,48.564815521240234,84.70355224609375
2006-06-14,1.2609069347381592,55.619998931884766,48.24137878417969,85.36013793945312
